Wfo,General
wfo-0001027262,"This subspecies is separated from subsp. corymbiflorum by its larger corollas and longer peduncles. Those specimens with a corolla radius greater than 15 mm, corolla lobes longer than 11 mm, and a peduncle equal to or greater than 7 cm long probably belong to subsp. mortonianum. Collections of this subspecies also have elongated acute fruits. The two collections of subsp. mortonianum from Paraná, Hatschbach 1593 and 11922, differ from the other representatives of this taxon in having smaller calyces and pubescent anthers. Although the anther pubescence is unique in the Cyphomandra clade and the collections are geographically separated from the rest of the subspecies, they are probably best regarded as local variants of subsp. mortonianum. Cyphomandra patrum was segregated from C. mortoniana by Smith and Downs (1964) because of its longer and denser indumentum, but indumentum varies considerably within subsp. mortonianum and in S. corymbiflorum as a whole and is not sufficiently distinctive in C. patrum to justify its recognition as a separate species.

"
wfo-0001027261,"Great morphological variability is present within this taxon, particularly in pubescence, calyx size and shape, corolla size, and fruit shape. Specimens vary from being nearly glabrous to densely pubescent or pilose. All intermediate states of pubescence can be found on herbarium material, so it is impossible to distinguish distinct taxonomic entities based on pubescence characters, as Smith and Downs (1966) attempted to do. The calyx lobes vary from broad to long and narrow, and the corolla diameters range from about 10 mm (in the type of C. macrophylla) to around 30 mm. Again, intermediate sizes and shapes are present. The element segregated by Smith and Downs as C. macrophylla is somewhat distinct in having very small flowers, generally large leaves, and elongated, acute fruits. Unfortunately, the only fruits available are very young, and fruits are lacking on most other specimens that have very small corollas. Large leaves are not unique to C. macrophylla and occur in many collections of S. corymbiflorum. Therefore, C. macrophylla has not been maintained as a discrete taxon.
"
wfo-0001030420,"This Brazilian species shares the following features with S. cacosmum and S. corymbiflorum: pubescent leaves with cordate bases, truncate stigmas, slender cylindrical styles, and hairy fruits. Solanum pinetorum can be distinguished from S. cacosmum by its relatively broad connective regions that does not extend abaxially below the anther thecae and is not expanded adaxially, its more elongate fruits with longer hairs, and its purple rather than green corolla. Solanum pinetorum is restricted to southeastern Brazil, whereas S. cacosmum is found mainly in the western Amazon. The morphological similarities between these two species are not indicative of a particularly close phylogenetic relationship, although both S. pinetorum and S. cacosmum belong to the S. diploconos clade based on ITS sequence data (Bohs, in press b). Solanum pinetorum is more closely related to S. corymbiflorum, also of southeastern Brazil. It differs from S. corymbiflorum in its more shallowly cordate leaves with shorter basal lobes, its longer and narrower anthers with a relatively broad connective region, and its elongated and pointed fruits. The inflorescences of S. pinetorum are usually unbranched and few-flowered, unlike the branched and many-flowered inflorescences of S. corymbiflorum. Smith and Downs (1966) recognized three species, based mainly on differences in pubescence and leaf size and shape, whereas only one species is recognized here. Pubescence and leaf size vary considerably within S. pinetorum (the occurrence and density of longer eglandular hairs is especially variable) and the criteria used by Smith and Downs (1966) for distinguishing these species do not hold up when the entire range of collections is examined. Solanum pinetorum, as circumscribed here, has a disjunct distribution, with populations in the northern area in the states of Minas Gerais, Rio de Janeiro, and São Paulo separated from those of the southern area by about 250 km. The northern populations typically have larger leaves and corollas than those from the southern regions. The element segregated as Cyphomandra angustifolia Smith & Downs occupies the north central parts of the province of Santa Catarina and includes the collections Smith & Reitz 8736, Smith & Klein 8416, Reitz & Klein 11710, and Reitz & Klein 11391. These collections have smaller and relatively narrower leaves, narrower corolla lobes, and shorter, narrower anthers with a smaller and less prominent connective region than other collections of S. pinetorum, but do not seem to be sufficiently different to justify taxonomic recognition."
wfo-0001028944,"Solanum lanceolatum is a variable species and extends from Mexico through Central America but not into South America. It is easily recognized among the Central American Solanum species by the dense white tomentum on the stems and leaf undersides and by the large blue or purple flowers in open inflorescences. Leaf size and shape is highly variable, but when a series of herbarium specimens or living plants are seen in the field, it is evident that only one species is involved. The vigorous leaves on young plants and stump sprouts are large, deeply lobed, and spiny, whereas those from flowering branches are smaller and often entire and without prickles. The phenotypic variability responsible for the creation of so many synonyms can be observed on a single plant. The populations from the arid plateau and valleys of the Mexican states of Puebla and Oaxaca and a few adjacent areas are more delicate with a tendency toward consistently narrow and thin leaves. The type of S. lanceolatum is from a plant of this sort and it seems to be the predominant form grown in European botanical gardens in the 1800's. A few collections from near Maltrata and Acultzingo near the Puebla border approach these, whereas the other Mexican collections are mostly of the more robust and widespread form. Taxonomic recognition of these collections at the specific or varietal level does not seem to be warranted at present.
"
wfo-0001028984,"Solanum latiflorum is distinguished from all other species in Solanum section Pachyphylla by its exclusively simple leaves, very large calyces, short broad stamens, expanded styles and stigmas, and elongated puberulent fruits. Its fleshy campanulate corolla, short, broad, curved stamens with the connective abruptly narrowed above the base, expanded style and stigma, and puberulent fruits are characters shared with S. diploconos, S. sciadostylis, and S. premnifolium, all from southeastern Brazil. The style of S. latiflorum is not nearly as broadly and abruptly expanded as in S. diploconos and S. sciadostylis. Solanum latiflorum differs from S. premnifolium by having larger calyces, broader and shorter styles, and adaxially swollen anther connectives. The very large calyx and elongated fruits of S. latiflorum resemble those of some Venezuelan collections of S. diversifolium, but a close relationship between the two species is not supported by other morphological characters or by molecular data."
wfo-0001027238,"Solanum cordovense can be recognized by its combination of stellate hairs, no spines, very short peduncles, foliaceous calyx lobes, and dark purple to black fruits. Most collections of S. cordovense from elevations of 1000 m or more have leaves with the upper surfaces sparsely pubescent to glabrescent. Plants with dense pubescence on all parts, including the upper leaf surfaces, have been segregated as S. extensum. These collections generally have a more scandent habit, possess stellate hairs with very long, often gland-tipped midpoints, and occur below ca. 1000 m in elevation. Further study may reveal that S. cordovense and S. extensum comprise two distinct species, but they are combined here due to their lack of consistent morphological or geographical distinctions. In S. perattenuatum the leaf blades are very long and narrow (length to width ratio 5-10 or more), with elongated attenuate apices. Otherwise, the pubescence, flowers, and fruits resemble those of S. cordovense. It is likely that these collections represent virally-infected individuals of S. cordovense.
"
wfo-1000024767,"The species is morphologically similar to Solanum luridifuscescens from which it differs by its greyish beige bark (vs. greenish brown), usually boat-shaped leaves, drying black (vs. flat, drying brown), branched cymes (vs. unbranched), swollen calyx, with lobes 1–1.5 mm long (vs. weakly or nonswollen calyx, with lobes 1.5–2 mm long), and anthers 5.2–5.7 mm in length, sessile (vs. 6.5–9.5 mm, filaments conspicuous). The specific epithet come from the latin words confertus (crowded) and florus (flor), a reference to the congested flowers at the apex of the inflorescence."
wfo-0001030492,"Solanum pluviale is most similar to and sometimes included within S. chrysotrichum. Similarities include large, coarsely lobed leaves, broad-based prickles, ferruginous pubescence, and a high elevation habitat. However, S. pluviale differs from S. chrysotrichum in having glabrate stems and sparser leaf hairs, these often with 4 lateral rays. Most specimens have eglandular pubescence on the inflorescence axes, but occasionally the pedicels can be sparsely glandular. Some collectors have mentioned that the stems, petioles, and leaf undersides are purple. Solanum pluviale occurs at scattered mid- to high-elevation localities around Costa Rica: at Monteverde, near Volcán Poás, at Tapantí Reserve, and on the Atlantic slope of the Cordillera de Talamanca. In most of these areas it is sympatric with S. chrysotrichum. It also occurs in high-elevation areas of adjacent Panama."
wfo-0001031114,"This species is distinctive due to its highly discolorous leaves, which are dark green above and bright white below due to a dense tomentum of stellate hairs. The highly discolorous leaves of this species are similar to those of S. lepidotum, but in S. lepidotum the whitish pubescence is formed by peltate or peltate-stellate hairs with a fused central portion, whereas in S. schlechtendalianum it is composed exclusively of stellate hairs. Nee (M. Nee, pers. comm.) notes that in S. schlechtendalianum the inflorescence is more or less hidden under the associated major leaf. The flowers are nodding, but the ripe purple fruits are held erect under the leaf and more or less in contact with the lower surface, thus hidden from sight when looking at the plant from above. Perhaps this serves as a mechanism to hide the mature fruits from bats during the night and encourage dispersal by birds during the day (Nee, 1993)."
wfo-0001030000,"Solanum obliquum has characters found in several members of the S. betaceum clade: very broad stigmas with two apical glands, short anthers with the connective not prolonged below the bases of the anther thecae, and stellate, coriaceous corollas with relatively broad and spreading lobes. It is most similar to S. zumbense, also from the eastern slope of the Andes, but differs in lacking abundant long hairs on the foliage and axes, and in its usually greenish and puberulent corollas, glabrous fruits with obtuse apices, and relatively short filaments. Collections of S. zumbense were originally noted as anomalous specimens of S. obliquum in the treatment of Bohs (1994), but were later described as a separate species (Stern & Bohs, 2009). Solanum obliquum is also similar to S. rojasianum from Central America, but can be distinguished by its glabrous fruits, longer inflorescences, and South American distribution. Solanum obliquum also resembles S. unilobum from southern Peru and Bolivia, but can be distinguished from the latter species by its deeply cordate leaves with oblique bases, inflorescences with very short and nearly contiguous pedicel scars, and abundant fine puberulence.
"
wfo-0001030299,"This species may be readily recognized by its densely tomentose, campanulate-urceolate corolla and by its usually pinnately divided leaves. The most distal pair of leaflets is often basiscopically decurrent along the rachis for 1 cm or more. Specimens with ternate and simple leaves also occur. Solanum pendulum closely resembles S. diversifolium and molecular data hint at a relationship between these species. Both have pinnately compound leaves and similar anthers and gynoecia, although the flower parts of S. pendulum are larger than those of S. diversifolium and S. diversifolium corollas lack the dense tomentum of S. pendulum. Densely tomentose corollas are also found in S. exiguum and the ranges of S. pendulum and S. exiguum overlap in Bolivia. Molecular data, however, argue against a close relationship between the two species. Solanum pendulum can be distinguished from S. exiguum by the long corolla tubes and glabrous fruits in the former species. Solanum pendulum may be closely related to Solanum viridiflorum Ruiz & Pavón, as pointed out by Ruiz and Pavón in the original description of the two species. From their illustrations in the Flora Peruviana (1799), the two species differ in that S. viridiflorum has entire leaves and villous fruits whereas S. pendulum has ternate or pinnate leaves and glabrous fruits. Because pinnate, ternate, and simple leaves can be found on a single plant of S. pendulum, leaf shape may not be a reliable character differentiating the two taxa. This illustrations also indicate that S. viridiflorum is pubescent on the leaves and stems and S. pendulum is not, but the description accompanying S. pendulum refers to it as being hirsute or pubescent. It is possible that S. viridiflorum is conspecific with S. cajanumense (q.v.), but without type specimens the identity of S. viridiflorum cannot be ascertained, and S. viridiflorum is currently considered a species of unknown placement."
wfo-0001027900,"Within Solanum section Crinitum, Solanum falciforme most closely resembles Solanum lycocarpum A. St.-Hil., Solanum gomphodes Dunal and Solanum crinitum Lam. All four species have pubescence of sessile to short-stalked porrect-stellate hairs and distributions centered in eastern Brazil. Solanum gomphodes can be easily distinguished from Solanum falciforme by its sessile leaves (vs. petioles usually 3-5 cm long in Solanum falciforme) and exclusively short-stalked stellate hairs. Solanum lycocarpum and Solanum crinitum are sympatric with Solanum falciforme, but the former two species have much broader distributions throughout South America. Solanum falciforme is easily distinguished from S. lycocarpum and S. crinitum by the presence of macroscopic falcate (sickle-shaped) long-stalked bristly hairs on the young stems as well as the inflorescence and calyx. Collections of Solanum crinitum often have similar long-stalked trichomes on the young stems, inflorescence and calyx; however the stalks of these hairs are straight. Solanum lycocarpum is similar to the other three taxa in its abundant pubescence of short-stalked stellate hairs, but the distinctive long-stalked hairs found in Solanum falciforme are noticeably absent.
"
wfo-0001032595,"Within the Cyphomandra clade, S. zumbense is most similar to S. obliquum. Both species have very broad stigmas with two apical glands, short anthers with the connective not prolonged below the bases of the anther thecae, and stellate, coriaceous corollas with relatively broad and spreading lobes. Solanum zumbense differs from S. obliquum in having abundant long hairs on the foliage and axes, pointed and often pubescent fruits, and purplish, nearly glabrous corollas. The filaments are quite long and are a distinctive feature. Solanum zumbense is found at higher elevations (above 1500 m) than typical plants of S. obliquum. Solanum zumbense takes its name from the town of Zumba in southern Ecuador near the Peruvian border, where the type collection was made. Although this locality is in the northern extremity of the range of this species, the euphonious epithet was too good to pass up. Zumbar is also the Spanish word for buzz, a common pollination mechanism in many species of Solanum.
"
wfo-0001031896,"Solanum truncatum is very similar to and possibly not distinct from S. torvum. Both taxa have glandular pubescence on the inflorescence axes, but that of S. torvum is less dense and composed of longer, more obvious unbranched glandular hairs. Solanum truncatum is generally found at higher elevations and more inland locations than S. torvum. The ferruginous pubsecence combined with glandular inflorescence hairs suggests that this “species” may be the product of hybridization between S. torvum and S. chrysotrichum. It is possible that S. truncatum is conspecific with S. stellatiglandulosum Bitter from South America, in which case the latter name has priority. However, the isotype of S. stellatiglandulosum examined at NY has glandular stellae on the stems and inflorescence axes, whereas Central American material has eglandular stem and glandular infloresence hairs."
wfo-0001031609,"This species is one of the most unusual in Solanum section Pachyphylla. It is a small tree of the seacoast with succulent stems, leaves, and flowers. The leaf-opposed inflorescences resemble those of Solanum section Geminata. The inflorescence axis is shorter than other species in the Cyphomandra clade and the small, obovate fruits are atypical in the group. These fruits are said to resemble small figs, hence the name “sycocarpum” or “fig-like fruit.” In floral features, however, this species conforms to section Pachyphylla. The anther connective is obvious and discrete and is prolonged beyond the apices of the anther thecae as a rostrate or beaked structure similar to that of S. paralum. Three collections from the area around Rio de Janeiro have pinnately lobed leaves, in contrast to the elliptic or obovate leaves of the more northerly collections. Sendtner (1846) considered the plants with lobed leaves as a separate species, Cyphomandra lobata Sendtn., but mentioned that it might be better regarded as a variety of S. sycocarpum. Because both lobed and unlobed leaves may be present on a single plant (e.g., Sucre et al. 9542) and because flowers of both segregates are similar in all respects, they are here regarded as conspecific. Further field work is needed to ascertain whether the differences in leaf morphology are consistent with geographical location. "
wfo-0001027380,"The absence of type material for both the species name and one of the synonyms has made recognition of the few collections difficult. Solanum cremastocarpum was recognized as a synonym by Bitter, but he then proceeded to name S. dolichopodum which seems to differ in little more than the shorter peduncle and absence of pubescence. However a number of New Guinea species are sparsely pubescent only on young tips and are glabrescent with age. It is possible that S. dolichopodum is the older name for Symon's New Guinea species S. incanoalabastrum, but the few flowers, slender elongate pedicels and broader leaves seem to be distinct characters of the latter species.
"
wfo-0001027720,"Solanum dunalianum is morphologically similar to S. viridifolium, but S. dunalianum in Australia has young leaves and petioles with stellate hairs (vs. glabrous for S. viridifolium); petioles 7-10% of lamina length (vs. 15-30% for S. viridifolium); common peduncle 5-8 mm long (vs. 12-23 mm long for S. viridifolium); pedicels and calyx densely to very densely stellate hairy (vs. glabrous or sparsely stellate-hairy); central ray of stellae deflexed (vs. erect) and style 7-8 mm long (vs. 4.5-5.5 mm for S. viridifolium). There are two sheets of S. dunalianum at P that were collected by Charles Gaudichaud-Beaupré. The sheet with 5 leaves and the prickly stem, with the label saying ""Solanum dunalianum, Aquartia Dl, Ile Pisang, C.G."" was chosen as lectotype by Bean (2004), as that specimen more closely matched the protologue. Bean (2004) was uncertain about the correct application of the name S. dunalianum. The Australian species is perhaps referable to S. torricellense Bitter, but further taxonomic study is required. Symon (1985) states that this species appears closely related to S. torricellense, from which it is not always readily separated; it is less closely related to S. mankiense. From the first it may be separated by its larger berries, slightly different pubescence, and generally larger leaves; from S. mankiense it is differentiated by its larger leaves, sparser pubescence, and greater stature. Solanum dunalianum was named by the French naturalist Charles Gaudichaud-Beaupré (1789-1854) for Michel Félix Dunal (1789-1856) a French Solanologist at Montpelier."
wfo-0001031752,"Solanum tobagense is similar to S. fortunense in its truncate to subcordate leaf bases, tomentose to ciliate corolla margins, and acute fruits. The puberulent fruits of S. tobagense distinguish it from S. fortunense. In addition, the leaves of S. fortunense are larger and more coriaceous than those of S. tobagense, and S. fortunense is found in Central America, whereas S. tobagense is a species of northern South America. Solanum tobagense is also similar to S. circinatum and was originally thought to belong to the S. circinatum group (Bohs, 1994), but molecular data place it in a clade with S. diversifolium, S. pendulum, and S. oxyphyllum. Solanum tobagense can be distinguished from S. circinatum by its exclusively unlobed leaves with truncate to subcordate bases and its puberulent, acute fruits. It shares few characters with S. diversifolium, although molecular ITS data place it as sister to S. diversifolium with high bootstrap support. The phylogenetic placement of S. tobagense should be investigated further with additional genes, as a close relationship with S. diversifolium as well as S. pendulum and S. oxyphyllum is unexpected from a morphological perspective. Solanum tobagense has a disjunct distribution separated by the Orinoco delta. Some populations are found in northeastern coastal Venezuela and Tobago and a second area of distribution occurs in inland areas of eastern Venezuela and Guyana. Some morphological differentiation appears to have taken place between the two areas. Steyermark & Nilsson 183 and Steyermark & Dunsterville 104421, both from Estado Bolívar, Venezuela, have much denser and longer hairs on the lower leaf surfaces than any of the other collections. In general, the specimens from Estado Bolívar, Venezuela, and adjacent Guyana have longer inflorescences than those from Tobago and coastal Venezuela. Steyermark (1979, 1982) gives examples of other plant taxa showing disjunct distributions between coastal Venezuela and lowland forests to the south."
wfo-0001026923,"Solanum celsum has been considered a synonym of S. lepidotum, but the two entities appear to show some differences. The trichomes of S. celsum are intermediate between stellate hairs and peltate scales, with the central fused part of the lateral rays smaller than in S. lepidotum. Pubescence of the leaf undersides is sparser in S. celsum than in S. lepidotum so that that the mesophyll is visible between the hairs. Unlike S. lepidotum and S. schlechtendalianum, the leaf surfaces of S. celsum are not strongly discolorous (green adaxially and white abaxially). 
"
wfo-0001032248,"Solanum urens is a striking plant, known only from a very few collections from the older volcanoes on St. Vincent. It appears not to have been collected on the active volcano of Soufriere at the northern end of the island, but rather on older rocks to the south. It is morphologically similar (but much larger than) S. schulzianum, of Hispaniola, and S. gundlachii of Cuba and Hispaniola. Solanum urens can be distinguished from both those species by its complex, branched inflorescences, very large, pale purple flowers, and dense pubescence of a mixture of long-stalked and sessile stellate trichomes. "
wfo-0001028250,"Morphologically, S. guamense is similar to S. sandwicense and S. amicorum. It can easily be distinguished from S. sandwicense by its totally white corollas, straight anthers with restricted pores, and small fruit. From S. amicorum it can be distinguished by its poricidal dehiscence, small, black fruits and the distinctive pubescence of veins of the abaxial surface of the leaves of S. amicorum.
"
wfo-0001025888,"Solanum amicorum is easily recognized by its large, deltate to ovate leaves with the pubescence of the veins on the abaxial leaf surface distinct from the pubescence of the rest of the blade. It is most similar S. sandwicense but differs by its more compact inflorescence, longitudinally dehiscent anthers, and orange-red to red fruits. The name of this species is literally the Solanum of friends. Presumable the epithet refers to the origin of the species in Tonga, previously known as the Friendly Islands.
"
wfo-0001030115,"Solanum orthacanthum is a striking plant with its strongly discolorous leaves and large, bright purple flowers. It is not easily confused with any other Solanum on Hispaniola. In his original description of S. orthacanthum, Schulz (1913) indicated the species was morphologically similar to S. lanceolatum Cav. (called by him S. laurifolium Miller). Solanum laanceolatum is a species of Mexico and Central America which has similar discolorous leaves, but has porrect, stellate trichomes with ca. 10 rays rather than echinoid stellate trichomes with many rays indistinguishable from the midpoint."
wfo-0001029488,"Like Solanum semisucculentum D.McClelland, but growing in the forest, a taller plant and with pubescent stems, leaves, and inflorescences. Solanum memaoyanum is most similar to another new species described here, S. semisucculentum. Specimens here attributed to both were included in Heine’s (1976) concept of S. styraciflorum Schltr.; McClelland (2012) treats S. styraciflorum as a synonym of S. artense Montroux (see description of S. artense on Solanaceae Source, www.solanaceaesource.org). From herbarium material S. memayoanum appears to have fleshy leaves like S. semisucculentum, but it differs in having a taller habit (MacKee 21797 records the stems as being 8 cm in diameter), pubescent stems, leaves, and inflorescences, and seeds with a more deeply pitted (the lateral cell walls longer) surface. In addition, the habitat of the two species differs; Solanum memaoyanum grows in closed rainforest from 1,300 to 1,500 m elevation as opposed to S. semisucculentum, which grows in open shrubby habitat (maquis) and is typically not found above 700 m elevation. Solanum artense (incl. plants matching the protologue of S. styraciflorum) is found below 250 m on calcareous soils, rather than the serpentine soils in mountainous regions on which both S. memaoyanum and S. semisucculentum are found."
wfo-0001026503,"It is rare for a plant species to be known to be extinct. Unfortunately, S. bauerianum holds this dubious distinction and is one of only two species of plants from Lord Howe Island to have become extinct (Auld & Hutton, 2004; Hutton et al., 2007). Solanum bauerianum was last collected on Lord Howe Island in 1937 and on Norfolk Island in 1830 (Green, 1994). The likely cause of the extinction of S. bauerianum on Lord Howe Island was the introduction of rats in 1918 from the vessel Makambo (Auld & Hutton, 2004; Paramonov, 1960). Rats are seed predators and have heavily impacted species in Solanum section Irenosolanum on other islands, most notably the Hawaiian Islands. Besides its anthropological interest, S. bauerianum is notable because of its lack of stellate hairs. This species is one of two in section Irenosolanum that lack stellate hairs the other being S. nudatum. While S. nudatum bears no hairs, S. bauerianum has simple hairs, flexed at the base and directed distally on the corolla abaxially as well as the typical minute glandular hairs of section Irenosolanum on the stems, leaves, inflorescence, and flowers. The simple nonglandular hairs are likely reduced stellate hairs and are unique in section Irenosolanum. Solanum bauerianum is resembles S. viride superficially. However, S. bauerianum can be differentiated easily by its showy inflorescences and unusual pubescence on the abaxial surface of the corolla. This species was named to honor Ferdinand Bauer (1760-1826), the Austrian botanical illustrator.
"
wfo-0001027503,"Solanum dendroicum is a very distinctive species with its shiny leaf uppersides and densely echinoid pubescent undersides that are pale tan or beige in dry material. Specimens of S. dendroicum have been identified as S. crotonoides, to which it is very similar, but differs in its upper leaf surfaces that dry much darker, and its white, stellate verging on lepidote rather than echinoid, leaf pubescence. Solanum dendroicum also lacks the prominent arching marginal vein of S. crotonoides, and has more (8-11 versus 5-7) pairs of primary leaf veins. Solanum crotonoides has long been known to be dioecious (see Whalen, 1984; Knapp et al., 1998), but this is the first suggestion that S. dendroicum is also unisexual. Plants that appear to be functionally female have inflorescences composed of a single pistillate flower, while those that are functionally male have branched inflorescences of fewer, slightly smaller flowers. This supposition needs to be confirmed with field studies in this species. "
wfo-0001030622,"Like Solanum inamoenum Benth. but differing in the congested inflorescence with the basal flower borne at the very base of the inflorescence and the inflorescence with a pseudo-peduncle, longer pedicels, and larger flowers and fruits. In his Flora of Fiji, Smith (1991) included many of the specimens here recognized as S. pseudopedunculatum in his concept of S. inamoenum Benth. The two species are not very similar morphologically, however, with leaf and stem pubescence differing in density (S. inamoenum pubescence is denser and the trichome rays are somewhat longer than in S. pseudopedunculatum), inflorescence structure (unbranched in S. pseudopedunculatum and highly branched in S. inamoenum), flower size (to 1 cm in diameter and homostylous in S. pseudopedunculatum, larger and heterostylous in S. inamoenum) and habitat preference (S. pseudopedunculatum is a plant of forests and secondary thickets, while S. inamoenum grows near the coast). Solanum pseudopedunculatum is much more similar to S. ratale but can be distinguished by its taller habit, mature leaves that retain pubescence along the veins and lamina, longer pedicels, and larger corolla, anthers, and berries."
wfo-0001032458,"Solanum viridifolium is the only member of Solanum section Dunaliana which predominantly occurs in Queensland, Australia and is uncommon on the Island of New Guinea. It also has a lax sometimes highly branched inflorescence instead of the typical condensed few branching inflorescence of Solanum section Dunaliana. Like all members of Solanum section Dunaliana, S. viridifolium has red fruits. Symon (1979) stated that the seeds of S. viridifolium are likely dispersed by birds. 
"
wfo-0001027829,"Solanum ensifolium is most similar and closely related to the widespread S. bahamense. It differs from S. bahamense in its black rather than red berries, shaggy appearance in the new growth and inflorescence due to the presence of stellate trichomes with elongate midpoints and in its higher elevation premontane habitat. In general, S. bahamense grows on calcareous soils near the coast throughout the Caribbean basin, while S. ensifolium is a plant of higher, more inland and slightly wetter elevations on Puerto Rico."
wfo-0001031022,"Once widespread and frequent (MacCaughey, 1917), on Oahu S. sandwicense is restricted to one reintroduced population. On Kauai, about fifteen wild individuals are known. Wagner et al. (1999) listed S. sandwicense as endangered. Conservation International and the National Tropical Botanical Garden include this species in their conservation efforts on Oahu and Kauai respectively. The specimens from Oahu and Kauai have at times been recognized as different species. Some specimens from Kauai have large lobes on leaves and ferruginous hairs with much longer stalks on the stems and leaves; however, these simply represent an extreme variant of the species. Still, all surviving forms of the species need to be protected. And, study on the population level may reveal genetic differences between the individuals of Oahu and Kauai. This species is named for the Sandwich Islands, an early name for the Hawaiian Islands.
"
wfo-0001029031,"The highly discolorous leaves of this species are similar to those of S. schlechtendalianum, but in S. lepidotum the whitish pubescence is formed by peltate or peltate-stellate hairs with a fused central portion, whereas in S. schlechtendalianum it is composed exclusively of stellate hairs. Some specimens of S. lepidotum have been misidentified as S. argenteum, a South American species. Solanum celsum, a morphologically closely related species, differs in its much less discolorous leaf surfaces with sparser hairs with the mesophyll visible between the hairs. The fused part of the rays is smaller than in S. lepidotum. In Costa Rica, S. celsum is found in the Cordillera de Talamanca and Osa Peninsula, whereas S. lepidotum is known from the Cordilleras de Guanacaste and Tilará.
"
wfo-0001031329,"Specimens of Ssolanum sotobosquense have been identified as S. arboreum Dunal, S. narcoticosmum Bitter, S. roblense Bitter, and S. vacciniiflorum Standi. & L.0.Williams by S. Knapp (pers. comm.) and others, but these specimens do not fit with the descriptions of any of those species. Solanum sotobosquense is densely puberulent on the new growth with minute glandular hairs and the leaf veins and mesophyll beneath are pubescent with unbranched, often gland-tipped hairs; the new growth and leaves of S. narcoticosmum are glabrous. It differs from S. arboreum in being a shrub or small tree (vs. a rhizomatous shrub). Its minutely glandular-puberulent fruits and large flowers distinguish it from S. roblense. Solanum sotobosquense lacks the distinctive hairs with reddish cross walls found in S. vacciniiflorum; the smaller, bullate leaves and deflexed fruiting pedicels of the latter species also help to distinguish the two species. The very long (20-35 mm), erect fruiting pedicels of S. sotobosquense differ from all the species mentioned above. Solarium arboreum, S. narcoticosmum, and S. roblense have erect fruiting pedicels up to about 20 mm long (to 25 mm in S. narcoticosmum; Knapp 2002). The fruiting pedicels of S. vacciniiflorum range from 18 to 30 mm long, approaching the length of those of S. sotobosquense, but they are deflexed rather than erect. Morphologically, Solarium sotobosquense is most similar to S. rovirosanum Donn. Sm. due to its large leaves, but the new species differs in its short, usually forked inflorescences (up to 1 cm long in S. sotobosquense vs. 1.5-8 cm long and often highly branched in S. rovirosanum) and long fruiting pedicels (20&mdash;35 mm long in S. sotobosquense vs. 8&mdash;13 mm long in S. rovirosanum). Solanum sotobosquense exhibits a number of characters found in Knapp's S. arboreum species group, such as difoliate and geminate sympodial units with strongly dimorphic leaves, short inflorescences with overlapping pedicel scars, and erect fruiting pedicels. At least three other species of this group, 5. arboreum, S. ramonense C. V. Morton & Standi., and S. roblense, have similar scurfy stems, major leaf veins, and inflorescence axes, where the surface cracks and peels into small plates. Molecular data (Bohs et al., unpublished) indicate that S. sotobosquense may be most closely related to 5. arboreum, S. ramonense, and S. roblense and is only distantly related to S. rovirosanum despite its superficial morphological similarity to the latter species.
"
wfo-0001025685,"Solanum accrescens can be recognised by its deeply lobed, stellate, white corolla, absence of stellate trichomes on the gynoecium which is covered with simple glandular trichomes, and unequal calyx lobes with 3 veins that visibly expand in fruit. This species can be confused with S. velutinum with which it shares 3-veined, unequal sepals and a fruit with simple glandular trichomes. Nevertheless, the sepals of S. velutinum are narrower, the corolla is purple and the pubescence of the adaxial leaf surfaces, pedicels and calyx is composed of sessile porrect stellate trichomes with reduced rays and long, multicellular midpoints. Specimens from Amazonian Ecuador identified as S. accrescens are S. velutinum. Specimens cited as Solanum accrescens from Venezuela by Benítez de Rojas & Medina (2001) do not match my concept of this taxon. Based on the description, plate and distribution in Benitez de Rojas & Medina (2001), the specimens are of S. mesopliarthrum, a Venezuelan species with great morphological plasticity that is superficially similar to and often confused with S. accrescens. Solanum mesopliarthrum is very common inthe regions cited in Benitez de Rojas & Medina (2001) as areas where S. accrescens was found in Venezuela."
wfo-0001025686,"The typical subspecies can be recognised by its shrubby habit, elliptic-lanceolate leaves with adpressed scabrous pubescence on the stems, upper leaf surfaces, peduncles and pedicels composed of sessile stellate trichomes with reduced midpoints that are ca. ¼ - 1/3 the length of the lateral rays. In juvenile plants the leaves are repand and the stems more prickly than in adult plants. A single collection from Costa Rica, Costich & Baldwin 1532, appears to have branched inflorescences."
wfo-0001025687,"The discontinuous variation exhibited by specimens from central Panama justifies the recognition of this subspecies, which principally occurs on Cerro Jefe and the area nearby. These specimens differ from Costa Rican material in having cordate to ovate leaves, acute (never acuminate) leaf apices, inflorescences with more flowers and smaller, more deltate sepals in fruit. The corolla is generally smaller (less than 3 cm in diameter) than that of Costa Rican specimens."
