Wfo,Cytology
wfo-0001025812,"Chromosome number not known.
"
wfo-0001030796,"n = 12; voucher: Barboza et al. 3516 (CORD) (Moyetta et al. 2013)
"
wfo-0001030802,"Chromosome number not known.
"
wfo-0001030982,Chromosome number not known.
wfo-0001022366,"Chromosome number not known.
"
wfo-1000075693,Chromosome number not known.
wfo-0001022367,"Chromosome number not known.
"
wfo-0001031483,Chromosome number not known.
wfo-0001031362,Chromosome number not known.
wfo-0001031394,Chromosome number not known.
wfo-0001030609,Chromosome number: 2n=2×=24 (Heiser et al. 1965; Heiser et al. 1979).
wfo-0001026308,"Chromosome number: 2n = 48 (Chiarini et al. 2017, voucher Särkinen et al. 4083, as S. furcatum). A count of 2n = 72 was reported by Edmonds 1977, based on Hawkes et al. 4111, but we have been unable to locate this voucher to verify its identity."
wfo-0001030991,n = ploidy missing = 12; voucher: missing (Moscone 1992)
wfo-0001021024,"Chromosome number, 2n = 12 pairs."
wfo-0001029056,"n = 12 (Löve 1979)
"
wfo-0001026233,"n = 12; voucher: Hunziker 24901 (Moscone 1992, as S. nicandricalyx)"
wfo-0001032502,2n = 2x = 24; voucher: Särkinen et al. 4038 (CORD) (Chiarini et al. 2017)
wfo-0001029373,"Chromosome number not known.
"
wfo-0001030628,"Chromosome number not known.
"
wfo-0001027365,"Chromosome number not known.
"
wfo-0001025741,"Chromosome number not known.
"
wfo-0001030686,"Chromosome number not known.
"
wfo-0001032352,"Chromosome number not known.
"
wfo-0001030636,"Chromosome number not known.
"
wfo-0001030146,"Chromosome number not known.
"
wfo-0001030153,"Chromosome number not known.
"
wfo-0001030161,"Chromosome number not known.
"
wfo-0001022233,Chromosome number not known.
wfo-0001022263,Chromosome number not known.
wfo-0001032536,"Chromosome number not known.
"
wfo-0001022328,"Chromosome number not known.
"
wfo-0001030684,"Chromosome number not known.
"
wfo-0001026325,"2n = 2x = 24; voucher: G. E. Barboza et al. 276, G. E. Barboza et al. 782, F. Chiarini 16, R. Subils et al. 3566, G. Bernardello et al. 487, Di Fulvio 803 (Moscone 1992; Chiarini and Bernardello 2006; Chiarini 2007; some as S. juvenale)
"
wfo-0001027583,"2n = 6x = 72; voucher: P. Sharp 46241 (ADW) (Hardin et al. 1972' Sharp 1978; Nichols and Hanna 1984; unpubl. data, cited in Symon 1981)
"
wfo-0001030325,"n = 36 (D'Arcy, 1969, as S. dimidiatum)
"
wfo-0001026883,"2n = 2x = 24; voucher: missing (D'Arcy 1969; Hardin et al. 1972; Bassett and Munro 1986; Hill 1989)
"
wfo-0001026491,"n = 12; voucher: Anderson 38 (CONN) (Anderson 1975)
"
wfo-0001029709,"n = 12 (Anderson 1975)
"
wfo-0001022561,"Chromosome number not known.
"
wfo-1000023513,"Chromosome number not known.
"
wfo-0001030281,"Chromosome number not known.
"
wfo-0001027284,"Chromosome number not known.
"
wfo-0001030949,"Chromosome number not known.
"
wfo-1000033128,"Chromosome number not known.
"
wfo-0001026539,"Chromosome number not known.
"
wfo-0001028934,"Chromosome number not known.
"
wfo-0001032507,"n = 12 (Federov 1974)
"
wfo-0001030155,"Chromosome number not known.
"
wfo-0001027125,"Chromosome number not known.
"
wfo-0001028147,"Chromosome number not known.
"
wfo-0001030803,"Chromosome number not known.
"
wfo-0001026490,"Chromosome number not known.
"
wfo-0001025856,"Chromosome number not known.
"
wfo-0001031729,Chromosome number not known.
wfo-0001429595,Chromosome number: not known.
wfo-0001027539,Chromosome number: not known.
wfo-0001027189,"n = 12; voucher: Chiarini et al. 821 (CORD) (Moyetta et al. 2013)
"
wfo-0001022464,Chromosome number not known.
wfo-0001029599,Chromosome number: not known.
wfo-0001028138,Chromosome number: n = 12 (Moscone 1992; voucher Subils et al. 3609).
wfo-0001030810,"Chromosome number not known.
"
wfo-0001029524,Chromosome number not known.
wfo-0001032299,"Chromosome number not known.
"
wfo-0001026397,"Chromosome number not known.
"
wfo-0001025783,"Chromosome number not known.
"
wfo-0001031007,"Chromosome number not known.
"
wfo-0001031185,"Chromosome number not known.
"
wfo-0001031885,"Chromosome number not known.
"
wfo-0001028885,"Chromosome number not known.
"
wfo-0001029065,"Chromosome number not known.
"
wfo-0001031333,"Chromosome number not known.
"
wfo-0001032465,"Chromosome number not known.
"
wfo-0001026352,"Chromosome number not known.
"
wfo-0001029006,n = ploidy missing = 12; voucher: missing (Moscone 1992)
wfo-0001022278,"Chromosome number not known.
"
wfo-0001030053,Chromosome number not known.
wfo-0001029156,"Chromosome number not known.
"
wfo-0001031144,n = ploidy missing = 12; voucher: missing (Sarkar et al. 1980)
wfo-0001029437,Chromosome number not known.
wfo-0001032303,"Chromosome number not known.
"
wfo-0001031707,Chromosome number not known.
wfo-0001026889,"n = 12; voucher: D'Arcy 3500 and 3501 (FLAS) (D'Arcy 1969)
"
wfo-0001343299,Chromosome number not known.
wfo-0001343300,Chromosome number not known.
wfo-0001023301,"Chromosome number: n = 12 (LA1028, http://tgrc.ucdavis.edu)."
