Wfo,Distribution
wfo-0001030703,"Solanum pygmaeum is native to central and coastal Argentina (Provs. Buenos Aires, Chaco, Córdoba, Corrientes, Entre Ríos, La Pampa, San Luis, Santa Fé, Santiago del Estero, Tucumán) and Uruguay (Dept. Rocha); it is also adventive in Europe, arriving as seeds through wool shipments but not usually established as permanent populations. A specimen (Gillies s.n., BM) cited in Särkinen et al. (2018) as being from Chile is almost certainly mislabelled and was collected somewhere in Argentina. In its native range, found growing in dry forests and grassland habitats, usually in sandy and clay soils, along railroad tracks and roadsides; from 100 to 1,000 m.
"
wfo-0001030219,"Chile [Regions I (Tarapaca), II (Antofagasta), III (Atacama) and IV (Coquimbo)] and Peru, in the Departments of Arequipa, Ica, Lima, Moquegua, Tacna, 200-3500 m in elevation."
wfo-0001030430,"Endemic to Chile [Regions I (Tarapacá), II (Antofagasta), III (Atacama), IV (Coquimbo), V (Valparaíso), VI (Liberador), VIII (Bío-Bío), Metropolitana. On dry, sandy or rocky coastal slopes and dunes, 3-2300 m in elevation."
wfo-0001027757,"Coastal Peru in Departments of Arequipa and Ica. On sandy or rocky lomas, 300 - 1080 m in elevation."
wfo-0001031872,"Endemic to Chile [Regions III (Atacama), IV (Coquimbo) and V (Valparaíso)]. On dunes and sandy lomas, 10 - 120 m in elevation."
wfo-0001030527,"Endemic to the Atacama desert of northern Chile; only known from two localities in the precordillera of Tamarugal province, Tarapacá region; between loose rocks of an alluvial cone on the north side of the Camiña river."
wfo-0001027641,"North America from California east to Arizona and south to Nicaragua, and is the most common black nightshade in the southwestern United States of America and northern Mexico.Open areas and disturbed habitats in a wide variety of vegetation types, from xerophytic to mesophytic forests and oak-pine woodlands between (sea level-) 600 and 3,400 m elevation.
"
wfo-0001346399,"Solanum fernandesii is a ruderal species of the states of Alagoas, Bahia, and Ceará of northeastern Brazil. It is found in open anthropogenically disturbed areas on coastal plains (tabuleiros) and in the caatinga biome, from sea level to 900 m of altitude."
wfo-0001028370,"Markedly disjunct with the range bisected by the full length of the Chihuahua Desert. Ranging from SW New Mexico and SE Arizona in the USA to Veracruz state in Mexico.
"
wfo-0001029977,"Markedly disjunct with the range bisected by the full length of the Chihuahua Desert. Ranging from SW New Mexico and SE Arizona in the USA to Veracruz state in Mexico.
"
wfo-0001031210,"Markedly disjunct with the range bisected by the full length of the Chihuahua Desert. Ranging from SW New Mexico and SE Arizona in the USA to Veracruz state in Mexico.
"
wfo-0001027231,Coastal areas of region IV (Coquimbo) of Chile.
wfo-0001027111,"Australia, Queensland (New South Wales, Northern Territory, Western Australia). Red earths in mulga (Acacia aneura) dominated communities, shrublands in arid zone."
wfo-0001022421,"Inflorescences axillary, in fascicles, with 1(2) flowers, glabrous; pedicels at anthesis 0.6–2.3 cm long, ca. 0.5 mm in diameter at the base, 1–1.5 mm in diameter at the apex, spreading and sometimes apparently bent (geniculate) in the upper third, glabrous to pubescent with simple uniseriate trichomes like those of the stems, articulated at the base; pedicel scars tightly packed in the leaf axils. Buds strongly tapered and pointed, the corolla strongly exserted from the calyx tube before anthesis, the calyx appendages enclosing the bud only partially. Lycianthes lysimachioides is usually found growing in deep shade in damp places along streams or in forest understory, often as dense patches, from 600 to 2,400 m elevation."
wfo-0001030696,"Endemic to Queensland, Australia. It is known from two areas in the central eastern part of the state. It usually grows in shallow yellowish soil on the edges of low plateaux, where the dominant species may be Acacia catenulata, Eucalyptus trachyphloia, E. tenuipes or E. exserta."
wfo-0001026321,"Endemic to Queensland, Australia. It is confined to a limited area of southern Queensland, recorded from Mungallala to the Thomby Range south-east of Surat. It grows on disturbed sites on low hills and ridges in shallow red sandy to loamy soil, often in association with Acacia catenulata (Bendee), Eucalyptus melanophloia and Phebalium glandulosum."
wfo-0001027613,"Widespread in Australia extending from Dungog in New South Wales to M.t Mee in Queensland (plus historical records from Yandina, Kin Kin and Gympie). It grows in wet sclerophyll eucalypt forest or on rainforest margins."
wfo-0001025743,"Endemic to Queensland, Australia, in the Dingo-Nebo-Clermont area, west and north-west of Rockhampton. It is recorded mainly from Brigalow (Acacia harpophylla) communities, but also from Gidgee (Acacia cambagei) woodland. Soils are deep cracking clays."
wfo-0001028226,"Endemic to Queensland. It is found on Gloucester Island (near Bowen), and adjacent parts of the mainland, and with a disjunct occurrence at Eungella Dam. It grows in open eucalypt woodland on hillsides with shallow soil derived from granite or granodiorite."
wfo-0001030212,"Between Jimbour and Warwick in Queensland. In New South Wales, it has been found from Inverell to Quirindi and Singleton, and west to Narrabri and Moree. It grows on heavy clay soil, in grassland or open eucalypt woodland. It is frequently described as a weed of cereal crops (Symon, 1971)."
wfo-0001029691,"Endemic to Queensland, Australia; extending from Lakeland Downs to Forty Mile Scrub. It usually grows in shrubby eucalypt woodland dominated by Eucalyptus cullenii, E. leptophleba or E. dallachiana, on gently undulating terrain, in clay-loam soils. There is one record from deciduous microphyll vine thicket."
wfo-0001028916,"According to Symon (1981), this species has a disjunct distribution with populations on the flood plains of the Frome River and adjacent creeks between Lyndhurst and Marree (a few early collections near Lake Eyre) in South Australia, and an attenuated distribution along the Rivers Darling and Murray, from Dalby on the Condamine in Queensland to Renmark in South Australia. It is found on heavy soils of the river flood plains. It occurs widely in semi-arid parts of New South Wales, Victoria and South Australia. In Queensland, Solanum lacunarium is known from a single collection near Dirranbandi from a grassy plain with Mitchell Grass (Astrebla spp.) and scattered Eucalyptus coolabah. This habitat is similar to that of S. stenopterum, but S. lacunarium occurs in areas of much lower rainfall."
wfo-0001030665,"Kimberley of Western Australia, Northern Territory and Queensland. In Queensland, is found around the Gulf of Carpentaria near the coast on heavy clay soils, sometimes in areas that are periodically flooded by very high tides. In the latter situation, it is associated with Sporobolus virginicus grassland."
wfo-0001026324,"Australia, Northern Territory. Shrublands in arid zone."
wfo-0001030688,"Australia (New South Wales, Victoria). Wet eucalypt forest with rainforest understorey, or rainforest margins, shrubby eucalypt woodland, remote from rainforest."
wfo-0001030556,"Australia (Queensland, New South Wales, Victoria). Wet eucalypt forest with rainforest understorey, or rainforest margins, shrubby eucalypt woodland, remote from rainforest."
wfo-0001027833,"Australia (New South Wales, Victoria). "
wfo-0001027918,"Australia: Queensland, Northern Territory, Western Australia. "
wfo-0001030838,"Australia, Northern Territory."
wfo-0001032515,"Australia, Northern Territory."
wfo-0001429800,"Australia, Queensland: Cook."
wfo-0001029758,"Used to occur on several of the main islands of Hawaii in addition to the leeward islands. Now it is restricted to Moomomi Dunes on Molokai where it grows in shifting and fixed sand dunes and in central areas of some of the leeward islands from 2-10 m elevation. The sea side is not a typical location for Solanums; S. nelsonii is the only Solanum known to live in shifting dunes.
"
wfo-0001030566,"Solanum profusum is endemic to the Andes of northern Argentina (Provs. Jujuy, Salta); a plant of open rocky areas along streams or grasslands with patches of semideciduous forest, from 1,200 to 1,500 m elevation."
wfo-0001029426,"In Australia, Northern Territory."
wfo-0001028965,"In Australia, Northern Territory."
wfo-0001027229,"Endemic to Queensland, Australia. It is sporadically distributed along the east coast from Coen to Townsville. It grows on disturbed sites in microphyll or tall notophyll rainforest, or on the margin with woodland communities. It has been recorded from vine forests on soils derived from basalts and granodiorite, usually between 500-1100 metres, but it has occasionally been found near sea level."
wfo-0001031195,"From Mt. Tamborine in Queensland to Byron Bay in N.S.W., although the Byron Bay population is probably extinct. It inhabits notophyll rainforest on fertile loams or clay-loams, especially where there are canopy gaps. It is endemic to the area formerly covered by the Tweed Shield Volcano, centered on the plutonic complex of Mount Warning."
wfo-0001025666,"Endemic to the extreme north-east of New South Wales, around Lismore. It grows in canopy-gaps in notophyll rainforest, usually on basaltic clay-loams, but also on meta-sediments. It is endemic to the area formerly covered by the Tweed Shield Volcano, centered on the plutonic complex of Mount Warning.
"
wfo-0001029505,"Endemic to Queensland, Australia. It is confined to the Boonah and Beenleigh areas in the far southeast of the area and inhabits Araucarian notophyll vineforest."
wfo-0001027792,"Endemic to Queensland, Australia. The type collection is from Port Clinton, now part of the Shoalwater Bay Military Reserve, N of Rockhampton. On the specimen label the habitat is recorded as “arenosus prope littus” (sandy area near beach)."
wfo-1000050015,"Only known from the state of Oaxaca, Mexico, in the District of Sola de Vega, in mixed pine-oak forest, ca. 1500 m in elevation.
"
wfo-0001029344,"Known only from the central coast of Ecuador in Provs. Manabí and Guayas from sea level to 400 m in elevation.
"
wfo-0001028148,"Bolivia, southern Brazil, Paraguay, northern Argentina, and Uruguay; low, swampy ground at margins of marshes and ponds in seasonally inundated areas; ca. 0-600 m."
wfo-0001026298,"Widely distributed in northern South America and western Central America from Costa Rica to Trinidad and Tobago, at low to middle elevations, generally in wet places."
wfo-0001020129,"Capsicum hunzikerianum is only known from a very restricted area in south-eastern Brazil (São Paulo State); inhabits the montane forests of the Atlantic Forest (Mata Atlântica), in Dense Ombrophilous Forest (Floresta Ombrófila Densa), in wet, shady or semi-shady or marshy places, at medium elevations (800–1,100 m)."
wfo-0001031257,"Southern Peru (Dept. Cusco), central Bolivia (Depts. Cochabamba, La Paz, Santa Cruz) and northern Argentina (Provs. Catamarca, Jujuy, Salta); in montane and premontane forests (‘yungas’), often at the edges of open areas along streams and light gaps in the forest, at elevations from 500 to 3,200 m elevation."
wfo-0001026994,"On the western slope of the Andes from the Department of Tacna in southern Peru to northern Chile, in hyper-arid rocky plains and coastal deserts from sea level to 3000 m."
wfo-0001029775,"Eastern Andes (Ecuador) to Western Andes and lowland Amazonia (Colombia, Ecuador, Peru, and Brazil); clearings, shaded thickets, and riparian forests; lowland to premontane forests; 200-1500 m."
wfo-0001026663,"A rather rare species occurring mostly as scattered individual trees in forest openings and in secondary growth thickets in Guatemala and Chiapas, Mexico. It is associated with the semi-deciduous vegetation along the Pacific escarpment “bocacosta” of the Guatemalan uplands from 1300 to 2000 m. In Jalisco, Mexico, occasional to locally abundant, occurring in moist barrancas and on talus slopes in Pinus-Quercus forests from 1600 to 2200 m."
wfo-0001029811,"Endemic to southeastern Kenya; open ground, grassland and forest edges on hillsides, often locally common, 2500-3000 m elevation.
"
wfo-0001031207,"Northern Tanzania and southern Kenya, less common to the west in Tanzania; growing in Acacia (Vachellia) bushland, dry thickets and grassland on sandy loam or dark cotton soil; 1000-1500 m elevation.
"
wfo-0001031867,"Solanum trilobatum is widely distributed in tropical Asia; from South India and Sri Lanka to Indochina, and Java. The single collection from the Philippines (Loher s.n.) is from the railway station in Manila and is probably cultivated. Solanum trilobatum grows in open areas or forest edges, on sand or limestone, close to coastal areas; often in open field or mangrove forest; from around sea level to 700 m elevation."
wfo-0001026821,"Along rivers and streams on gravel bars in wet forested areas of low mountains, Guatemala to northwestern South America (Colombia, Venezuela and Ecuador), 0-1000 m in elevation.
"
wfo-0001030561,"Solanum procumbens is widely distributed from China and Indochina to Indonesia (Flores and Timor) and Timor Leste. Solanum procumbens is a plant of open places in many forest types, often scrambling over other vegetation and on rocks, from sea level to 650(1,500) m elevation."
wfo-0001030177,"Solanum pallidum occurs from south-central Peru (Depts. Huánuco, Ayacucho, Cusco, Puno) to northern Bolivia (Depts. Cochabamba, La Paz) on the eastern Andean slopes. In cloud forests, cloud forest edges and clearings, roadsides and montane scrub, from (600-)1,200 to 4,000 m elevation. Most specimens have been collected between 2,000 and 2,800 m elevation."
wfo-0001026485,"Eastern Andes to lowland Amazonia (Colombia, Ecuador, Peru, and Brazil); clearings, shaded thickets, riparian forests, and disturbed areas; premontane to montane forests; 200-2000 m."
wfo-0001031654,"Weedy species of swamps and wet areas from southern Florida and Mississippi through the Caribbean and Central America with occasional specimens from the Caribbean coast of Venezuela, at sea level to 150 (-700) m in elevation.
"
wfo-0001030850,"Southeastern Africa and Madagascar, extending inland to Zimbabwe and the southernmost corner of Democratic Republic of the Congo [Jaeger (1985) cites<em> Pooley 1672</em> from KwaZulu-Natal as evidence for occurrence in South Africa but this is a misidentification, <em>Pooley 1672</em> is a specimen of <em>S. torreanum</em>] growing in disturbed areas, open bushland with grass, open forest, thickets and roadsides at 500 - 1300 m elevation.
"
wfo-0001027626,"Pacific and Amazonian lowlands of Ecuador and in the Amazonian lowlands of Peru; 50-350 m in elevation.
"
wfo-0001031589,"Inland areas of South Africa, Namibia and Botswana; growing in sandy soil or gravel, open grassy areas, limestone substrate; 1200-2000 m elevation.
"
wfo-0001030189,"Somalia to Kenya, commonly collected on the Somalian coast and apparently locally abundant; growing in sand, bushland, dunes or secondary scrub on limestone or coral. 0-300 m elevation.
"
wfo-0001028203,"Solanum graciliflorum is known from only a few collections from the islands of Java, Bali, Sulawesi and Ambon (Indonesia). Solanum graciliflorum is a plant of tropical rainforest understory; elevation not recorded."
wfo-0001032260,"Southern Kenya to Mozambique; coastal bushland, thickets, savanna and disturbed places; 0-500 m elevation.
"
wfo-0001025702,"Restricted to the Grande Terre of New Caledonia, Solanum actephilum is found across a wide elevation range from ca. sea level to 1000 m elevation in humid forest. Whalen (1984) reported this species as a serpentine endemic. It is a scandent shrub adapted to scramble up surrounding vegetation with its prickles. McKee 34476 reported it as scrambling to 6 m up neighboring vegetation.
"
wfo-0001027369,"Endemic to Somalia, rare and restricted to a small area in the northeastern part of the country; growing in scrub on limestone; ca. 700 m elevation.
"
wfo-0001022362,"Belize (Cayo, Orange Walk, Stann Creek, Toledo), Guatemala (Petén), Honduras (Comayagua), and Mexico (Campeche, Chiapas, Quintana Roo) on slopes and ridges, in ravines, often on limestone, in primary or disturbed tall tropical forest and tropical dry forest, 0-800 m in elevation.
"
wfo-0001026262,"In the upper Amazon drainages of Brazil, Colombia, and Peru; in riverine habitats at 100-500 (750) m.
"
wfo-1200041500,"Belize (Cayo, Corozal, El Cayo, Orange Walk, Stann Creek, Toledo), Guatemala (Chiquimula, Izabal, Peten, and Sacatepéquez), Honduras (Coón, Copan, Cortés, ISlas de la Bahia, Olancho and Yoro), Mexico (states of Campeche, Chiapas, Hidalgo, Jalisco, Nayarit, Oaxaca, Quitana Roo, Tabasco, Tamaulipas, Veracruz, Yucatá;n) and Guatemala in dunes or forest (often disturbed), usually selva subperennifolia, selva subcaudicifolia, selva mediana, sometimes oak forest, sometimes on limestone, 0-400 m
"
wfo-0001022517,"Mexico (Chiapas, Guerrero, Oaxaca, Veracruz), Guatemala (Alta Verapaz, Huehuetenango), El Salvador, Honduras, and Nicaragua, in montane rainforest, tropical moist forest, tropical dry forest, oak forest, and pine-oak forest, sometimes on slopes or in disturbed forest, along roadsides or in coffee plantations, often on limestone, 500-1850 m in elevation."
wfo-0001022462,"Mexico (state of Chiapas), Guatemala (states of Alta Verapaz and Baja Verapaz) in montane rainforest, cloud forest, high forest, on slopes, 1300-1800 m in elevation.
"
wfo-0001022295,"Guatemala, states of Alta Verapaz and Huehuetenango, 1500-2600 m in elevation. Nothing is known about the habitat where this species grows, but it may be cloud forest.
"
wfo-1000033129,"Guatemala (Department of Baja Verapaz). In cloud forest, deciduous forest, tall forest, wet forest thickets and forest floors, sometimes along drainages or on slopes, prefers undisturbed forest, 1500-1800 m in elevation.
"
wfo-0001032475,"Weedy species of forest edges, light gaps, and roadsides from Veracruz, Mexico through Central America and the northern coast of South America in Colombia, Venezuela, Guyana, and French Guiana and Trinidad and Tobago, commonly at sea level to 500m (1600 m).
"
wfo-0001022406,"Mexico (Chiapas), Belize (Toledo), and Guatemala (Huehuetenango, Izabal, Petén) on slopes and ridges within tropical rain forest, pine forest, pine-oak forest, cloud forest, and tropical moist forest, both in primary forest and along road edges, from 80-1500 m.
"
wfo-0001030224,"Endemic to the Atlantic coastal rainforest in northeastern Brazil in the states of Alagoas, Bahia, Paraíba, and Pernambuco at 0-40 m in elevation.
"
wfo-0001029106,"Endemic to southern and southeastern Mozambique, occurring on dunes and littoral vegetation, forest edges, sandy soil and bushland at sea level.
"
wfo-0001026501,"Madagascar, endemic to southern part of Toliara; growing on sand and limestone at low elevations near sea level..
"
wfo-0001031480,"Usambara Mountains, Tanzania, and high elevation areas in Kenya and Mozambique; growing in rainforest understory, open forest, forest edges or disturbed ground; 700-2000 m elevation.
"
wfo-0001028547,"Endemic to Tanzania, known only from the Morningside region of the Uluguru Mountains, growing in forest at 1500-2000 m elevation.
"
wfo-0001030919,"Known from southern Ecuador in Prov. Zamora-Chinchipe to northern and central Peru in Depts. Cajamarca, San Martín and Pasco and in open places in disturbed montane tropical forest, 1650-2200 m in elevation.
"
wfo-0001022450,"Belize, Costa Rica, Nicaragua, and Panama, broadly distributed in many wet forest habitats, including lowland tropical wet forest, lower montane rainforest, and evergreen cloud forest, in both primary forest and disturbed areas in secondary forest and along roadsides, 0-1800 m in elevation. "
wfo-0001026272,"Endemic to Brazil in the state of Maranhão, in disturbed areas in wet forests and cerrado from 500-1500 m."
wfo-0001342062,Solanum camranhense is endemic to Vietnam; the few known collections are restricted to Khánh Hòa and Bình Thu?n provinces of South Vietnam. Solanum camranhense has only been collected on coastal dunes of stabilized red sands; 15–20 m elevation
wfo-0001028432,"Brazil (Bahia, Espírito Santo, Minas Gerais, Rio de Janeiro, São Paulo, Paraná, Santa Catarina)."
wfo-0001027234,"Northeastern Africa (Ethiopia, Somalia, and Kenya), the Arabian Peninsula to Afghanistan and the northern Indian subcontinent; growing in grassland, bushland and open woodland on silty, sandy or stony soli, 0-1500 m elevation.
"
wfo-0001032512,"Solanum wightii is endemic to the mountains of southeastern India in the states of Tamil Nadu and Andhra Pradesh. Solanum wightii occurs in dry forests and forest margins, from 850 to 2,200 m elevation."
wfo-0001030959,"Known only from the type locality in Tanzania; growing in wet coastal forest understory; ca. 200 m elevation.
"
wfo-0001028805,"Solanum juninense occurs in the Andes of Peru (Depts. Amazonas, Ancash, Ayacucho, Cajamarca, Huancavelica, Junín, La Libertad, Pasco, San Martin) and Bolivia (a single collection from Dept. La Paz, Solomon 16463). We expect to see more collections in the future from southern Peru and northern Bolivia, but currently there is a disjunction between the Peruvian and Bolivian populations. In cloud forests and cloud forest margins (‘ceja de selva’), often in open roadsides, treefalls and along streams ditches and moist depressions, from 1,800 to 4,200 m elevation."
wfo-0001031095,"Solanum schefferi occurs from the Philippines to northern New Guinea and the Solomon Islands (Malaita Island) to northern Sulawesi and the Malakus in Indonesia. Solanum schefferi has been collected growing in open areas near abandoned fields or at forest edges from approximately sea level to 1,500 m elevation. It appears to grow on limestone, a soil type unusual for Solanum."
wfo-0001025774,"Endemic to the coastal region of South Africa (most commonly collected in Eastern and Western Cape provinces, a few collections from North West, Gauteng and KwaZulu Natal provinces). It occurson dunes and strand habitats near the sea; 0-50 m elevation.
"
wfo-0001020013,West Indies
wfo-0001019982,Capsicum annuum is the most extensively cultivated pepper worldwide.
wfo-0001031877,"On slopes and in thickets in central, south and west Texas and northern Mexico, south the Coahuila state, from sea level to 500 m elevation."
wfo-0001026205,"Endemic to the island New Guinea and has been collected from primary forest, montane rainforest, submontane forest, and secondary forest along streams, from 100-2800 m. Solanum anfractum appears to come from less disturbed sites than most species of Solanum on New Guinea."
wfo-0001029704,"Mountainous spine of New Guinea, in montane forests, Nothofagus pullei forests and logged areas."
wfo-0001031843,"Endemic to northeastern Madagascar in the area around the mountain of Marojejy, Antsiranana province. To grows in wet montane forests, often growing as a epiphyte in cloud forests; 500 to 1500 m elevation.
"
wfo-1000023515,"Mexico (Oaxaca, Puebla, Veracruz), in wet forest habitats, including tall evergreen forest, deciduous forest, and cloud forest, in both primary forest and disturbed areas, such as coffee plantations and along roadsides, often growing with Quercus or Liquidambar, sometimes on steep slopes or along drainages, sometimes on limestone, 200-1600 m in elevation.
"
wfo-0001022236,"Costa Rica (Puntarenas) and Panama (Bocas del Toro, Chiriquí). On slopes, sometimes near streams, in canyons or on ridges in cloud forest, including mixed oak or Podocarpus forest, at 2,500-3,500 m in elevation.
"
wfo-0001028080,"In the dry thorn shrub of Venezuela and caatinga of northeastern and southeastern coastal Brazil in the states of Alagoas, Bahia, Minas Gerais, Pernambuco, Rio de Janeiro, and Sergipe at elevations of 0-1000 m.
"
wfo-0001031169,"Solanum semisucculentum is endemic to New Caledonia and is restricted to the ultramafic mountains of the western side of the Grande Terre. It is found in the North Province from (50–)100 to 700(–1,200) m elevation. This species is a serpentine endemic and grows in an open shrubby habitat (maquis) on soils which are fast draining and the semisucculent leaves of this species are possibly an adaptation for these harsh conditions."
wfo-0001028725,"Known only from 800-1010 m on the Pico de Jabre in the Serra de Teixeira in the Brazilian state of Paraíba, near the Pernambuco border. The area is composed of granitic and gneiss outcrops with a caatinga type vegetation locally known as mata serrana, whose elements largely belong to humid forest and semi-arid caatinga (Carvalho & Carvalho, 1985)."
wfo-0001028736,"Weedy species of open fields, roadsides, or other disturbed areas from southern Florida through the Caribbean and Central America into northern South America and Brazil to northern Bolivia, at sea level to 900 m in elevation.
"
wfo-0001032354,"Southeastern Australia from southern Queensland through New South Wales and Victoria to Tasmania, in wet areas. Subcoastal in consolidated coastal dunes, stream banks and forest margins."
wfo-0001026292,"Depts. Beni, Pando, and Santa Cruz, Bolivia, in seasonally flooded savannas of the Llanos de Moxos at 125-275 m in elevation.
"
wfo-0001027978,"Known from only Los Rios, and Guayas provinces in Ecuador at 400-700 m with another probable specimen from Esmeraldas, Ecuador.
"
wfo-0001025656,"Only known from the eastern slopes of the Andes in Bolivia (Departments of La Paz and Cochabamba) in the subtropical and semi-arid forests of the Yungas, above 300 m elevation."
wfo-0001028046,"Rainforests of French Guiana, Surinam, Peru and northern Brazil, occurring on clay and sandy soils from 50-1500 m."
wfo-0001030899,"Thickets and forested slopes, 1000-1500 m in elevation, in Belize, Guatemala, and Chiapas, Mexico."
wfo-0001030551,"Secondary vegetation and openings or margins of primary forest, southeastern Brazil and Paraná and Rio de Janeiro and possibly also in Bahia and São Paulo, at about 50-700 m in elevation."
wfo-0001030160,"Endemic to Cuba, known only from the eastern part of the island from pine woods at ca. 700 m elevation."
wfo-0001028273,"Only known from eastern Cuba and Haiti, in pine woods from 700-2225 m elevation.
"
wfo-0001028525,"Endemic to Madagascar, with a broad distribution range in the west, the south, and on the high central plateau; in the provinces of Mahajanaga, Antananarivo, and Toliara. It grows in open dry forest and forest edges; often growing on rocks; 900-1000 m.
"
wfo-0001026535,"Endemic to Toliara province in southern Madagascar. It occurs in open dry forest and scrub on limestone or sand; 600-1100 m elevation.
"
wfo-0001030225,"Atlantic coastal rain forest along the seashore in southeastern Brazil, in states of Bahia, Rio de Janeiro and São Paulo. Elevation not known, but probably close to sea level.
"
wfo-0001028551,"Across New Guinea in the mountains from 1000 m to 2440 m elevation. It is has been collected in Papua New Guinea but not Papua, Indonesia where it most likely also occurs. It is found in rainforest in disturbed areas including roadsides, along river, forest edges, clearings, and old gardens.
"
wfo-0001030784,Solanum ratale is endemic to Fiji on the islands of Viti Levu and Vanua Levu. It is known from elevation of 200 to 800 m but may grow at lower elevation near Suva (but see below). The habitat has been recorded as logged-off forest (Degener 14324) or dense forest along streams (Smith 5370).
wfo-0001027260,"In the understory of Araucaria stands, cloud forest, and disturbed areas such as clearings, fields, and stream margins, 200-2000 m in elevation, southeastern Brazil in the states of Paraná, Rio Grande do Sul, and Santa Catarina and adjacent provinces of Argentina.
"
wfo-0001027262,"In southeastern Brazil (Paraná) in southeast of Curitiba and in the southeastern Serra do Mar region in Santa Catarina around São Joaquim, 950-2000 m in elevation, in clearings, thickets, and waste places in dwarf forest in the mountains.
"
wfo-0001027261,"In understory of Araucaria stands and in disturbed areas, 200-1300 m in elevation, southeastern Brazil in the states of Paraná, Rio Grande do Sul, and Santa Catarina and adjacent areas in Argentina.
"
wfo-0001030420,"Secondary vegetation and disturbed areas in primary forest, coastal cloud forest and Araucaria forests of southeastern Brazil at elevations of 750-2100 m in the provinces of Minas Gerais, Rio de Janeiro, São Paulo, Paraná, and Santa Catarina."
wfo-0001028944,"Secondary vegetation and disturbed areas in moist or wet forest, frequently in oak-pine forest, southern Mexico through Guatemala to western Panama, 650-2200 (-3000) m.
"
wfo-0001028984,"Coastal rain forest of southeastern Brazil in states of Minas Gerais, Rio de Janeiro, and São Paulo at elevations between about 800 and 1800 meters."
wfo-0001027238,"Roadsides, forest edges, pastures, and secondary growth in moist to wet forest, Mex. - Pan., S. Amer.; 100-1750 m
"
wfo-1000024767,"The species is endemic to the Bahia state, Brazil, in the Caatinga biome and inhabits the understory of the semideciduous seasonal forests, as well as outcrops, at Morro do Chapeu, Morro da Quixaba, Serra da Bocania, Serra do Castanh~ao, and Serra do Orobo, ranging from 320 to 1270 m in elevation. "
wfo-0001030492,"Secondary growth, disturbed areas and clearings in oak forest and montane wet forest in Costa Rica and Panama between 900-2200 m in elevation."
wfo-0001031114,"In clearings, gaps, or edges in wet and moist forest, often in secondary habitats, Mexico through Central America and the West Indies to the Guianas and Andean South America as far as northern Argentina; 0-1700 m in elevation.
"
wfo-0001030000,"From the Amazon Valley west to river valleys of eastern Andean slopes in Colombia, Peru, and Brazil; in clearings and open places in tropical rain forest, 100-1000(-1850) m in elevation.
"
wfo-0001030299,"Understories and openings of tropical rain forests, 200-2850 m, eastern slope of the Andes in Ecuador, the valleys of the rivers Huallaga and Ucayali in Peru, the Rio Beni in Bolivia, and adjacent Amazonian Brazil."
wfo-0001027900,"Endemic to Brazil. Found in cerrado and along roadsides, 380-1300 m in elevation, common in States of Goiá;s and Distrito Federal, but also occurring in Bahia and Minas Gerais.
"
wfo-0001032595,"Eastern Andean slopes in southern Ecuador and Peru, with an outlying collection from Brazil. Clearings and open places in tropical rain forest, (400-) 1500-2255 m in elevation.
"
wfo-0001031896,"In primary and secondary forest, often in disturbed areas at 900-1900 m in elevation in mountainous regions of Costa Rica and Panama, possibly also extending into northwestern South America."
wfo-0001031609,"Restinga vegetation along the seashore in Bahia, Espírito Santo, and Rio de Janeiro, Brazil at 0-50 m in elevation."
wfo-0001027380,"Endemic to Papua New Guinea, growing in abandoned garden sites, secondary forest, roadside banks and as a vine on river banks at elevations from 90-1300 m (mean in Papua New Guinea 682m, fide Symon).
"
wfo-0001027720,"Widespread species found from Sulawesi east through New Guinea and south to the Cape York Peninsula in Queensland, Australia. It typically occurs in disturbed habitats and has been found in secondary rainforest, along roads, in clearings, along streams, and gardens from sea level to 1200 m elevation.
"
wfo-0001031752,"Primary wet forest or cloud forest, 400-1300 (-2255) m elev., eastern Venezuela (distribution disjunct due to the Orinoco delta), adjacent Guyana, and Tobago."
wfo-0001026923,"This species is known from the Pacific coast of Costa Rica in the Cordillera de Talamanca, the Reserva Carara, and the Osa Peninsula. It has been collected in edges and understory of primary and secondary wet forest at 0-1700 m in elevation. It is probably also found in neighboring parts of Panama. In Costa Rica, S. celsum is found primarily on the Pacific slope in the southern part of the country, whereas S. lepidotum is restricted to the Cordilleras of Guanacaste and Tilará.
"
wfo-0001032248,"Only known from montane areas on the island of St. Vincent, at approximately 1000 m elevation."
wfo-0001028250,"Restricted to the US Territory of Guam, the southernmost of theMarianas Islands, where it can be found between 2-320 m elevation. This species is disjunct from the rest of section Irenosolanum the nearest species geographically being in Vanuatu, a distance of about 4000 km. No explanation readily presents itself to explain this phenomenon other than long distance dispersal by some unknown bird.
"
wfo-0001025888,"Restricted to the island nation of Tonga in coastal thickets, edges of littoral forest, and disturbed areas from sea level to 7 m elevation.
"
wfo-0001030115,Endemic to the eastern part of the island of Hispaniola in the Dominican Republic in moist areas in montane pine forest from 1200-1400 m elevation.
wfo-0001029488,"Solanum memaoyanum is narrowly restricted to the mountain of Mé Maoya on the Grande Terre, New Caledonia, and grows in rainforest from 1,300 to 1,500 m elevation."
wfo-0001026503,"Known only from Lord Howe Island and Norfolk Island, this species is now extinct on both islands. Green (1994) cited Boorman s.n. (NSW not seen by me) which indicated the species occurred near Ned's Beach in rocky formation of land overlooking the ocean at &plusmn;sea level. Based on this locality, S. bauerianum likely grew on on calcareous substrate.
"
