Wfo,Conservation
wfo-0001026736,"Least Concern [LC]. EOO = 117,146 km2 [LC]; AOO = 184 km2 [EN]. Solanum caesium is widespread and common across its range and is a plant of disturbed areas. It occurs in protected areas in both Bolivia (Parque Nacional Serrania Aguarague) and Argentina (Parque Nacional Calilegua)."
wfo-0001028269,"Preliminary conservation status (IUCN 2014). Least Concern (LC). EOO 89,953 km2 (LC), AOO 24 km2 (EN). Solanum guineense has a relatively wide range in South Africa, and our calculated AOO indicating conservation concern is likely due to the number of specimems we have examined for this study. The species occurs in protected areas around the Cape, and although not weedy, appears to be common, judging from the photographic records in the online community nature recording site iSpot (http://www.ispotnature.org/communities/southern-africa).
"
wfo-0001027128,"Least Concern [LC]. EOO = 7,244,968 km2 [LC]; AOO = 1,132 km2 [VU]. Solanum cochabambense is a common plant of disturbed areas. Further study may reveal variation that warrants taxonomic distinction, and this preliminary assessment will need revisiting. Solanum cochabambense occurs within several protected areas across its range (see Supplementary materials)."
wfo-0001028481,"Preliminary conservation status (IUCN 2014). Near Threatened (NT). EOO 20,941 km2 (NT), AOO 40 km2 (EN). Solanum humblotii is confined to wet forests (see below), and is rarely collected. Given the decreasing extent of wet forests in Madagascar, this species is certainly of conservation concern, but it does occur in or near some forestry reserves, so may have some degree of protection.
"
wfo-0001029286,"Preliminary conservation status (IUCN 2014). Data Deficient (DD). Known from only two collections on the island of Mayotte collected 100 years apart (see below) with insufficient habitat information to assess its distribution. It is likely to be endangered based on its occurrence on a single small island and the paucity of collections; however, the island is not well-collected, so re-collection of this plant is a priority.
"
wfo-0001029731,"Preliminary conservation status (IUCN 2014). Vulnerable (VU B1a,b iii); EOO 7,482 km2 (VU), AOO 52 km2 (EN). Solanum myrsinoides is known from fewer than 10 locations, all in a restricted area around Antogil Bay in northeastern Madagascar. Its population density may be underestimated as it is a rarely collected canopy liana or epiphyte. It occurs in several protected areas in the region and so is not assessed here as Endangered as the small AOO might warrant.
"
wfo-0001029289,"Preliminary conservation status (IUCN 2014). Least Concern (LC). EOO 551,384 km2 (LC), AOO 436 km2 (EN). Solanum madagascariense is a common liana, and occurs in several different forest types, including in some protected areas. Its local rarity and patchiness of distribtition, along with its range of morphological varability (see below) suggest further studies as to local abundance are necessary.
"
wfo-0001031005,"Preliminary conservation status (IUCN 2014). Least Concern (LC). EOO 109,250 km2 (LC), AOO 40 km2 (EN). In common with other members of the ANS clade in Madagascar, Solanum sambiranense has a relatively wide distribution, resulting in an EOO indicating lack of immediate conservation concern. The paucity of collections, indicative of local rarity, however, coupled with the ongoing habitat threats in Madagascar, does indicate monitoring and further collection to assess local and regional rarity is necessary.
"
wfo-0001020042,"EOO (1,724,002 km2); AOO (952 km2). Capsicum chacoense is widespread across subtropical Chaco forests from Bolivia to Paraguay and is assigned the Least Concern (LC) category."
wfo-1000020806,"EOO (13,880.224 km2); AOO (48 km2). Capsicum neei has been collected in more than 10 localities and many times in the last 23 years, in a recently Protected Area (National Park and Integrated Management Natural Area “Serranía Inao”) and in nearby areas, which suggests that both the geographic range (EOO and AOO) and the population size are likely not to be significantly affected in the forthcoming years. Due to this, C. neei can be assessed as Least Concern (LC)."
wfo-0001025653,"Possibly extinct.
"
wfo-0001020090,"EOO (19,757,841 km2); AOO (1,336 km2). Capsicum frutescens is a widespread cultivated species across the Americas and can be assigned the Least Concern (LC) status."
wfo-0001020046,"EOO (18,657,305 km2); AOO (712 km2). Capsicum chinense is a very widespread cultivated species worldwide; we assign the status of Least Concern (LC)."
wfo-0001022539,"Lycianthes stephanocalyx is a widespread species ranging from western Mexico to Honduras, represented by 68 collections and occurring in six protected areas. The EOO is 361,720.394 km2, and the AOO is 260 km2. Based on the IUCN (2019) criteria, the preliminary assessment category is Least Concern (LC).
"
wfo-0001330986,"Lycianthes glabripetala is a rarely collected species of endangered cloud forest habitat of central Mexico, represented by only six collections, two of which are from a protected area (Sierra Gorda). The EOO is 8,363.379 km2, and the AOO is 24 km2. Based on the IUCN (2019) criteria, the preliminary assessment category is Vulnerable (VU)."
wfo-0001030573,"Preliminary conservation status (IUCN 2017). Least Concern (LC). Solanum pruinosum is widespread in Mexico, but is not as common as S. nigrescens.
"
wfo-0001022304,"Lycianthes dejecta is a widespread Mexican endemic, represented by 55 collections and occurring in three protected areas (Sierra la Laguna, Sierra Gorda and Tehuacá;n-Cuicatlan Valley). Anguiano-Constante et al. (2018) provided a preliminary conservation assessment of Least Concern (LC).
"
wfo-0001022207,"Lycianthes acapulcensis is a widespread species in Mexico and Central America, represented by 116 collections and occurring in seven protected areas. This species was given a preliminary conservation assessment by Anguiano-Constante et al. (2018) of Least Concern (LC).
"
wfo-0001022447,"Lycianthes moziniana var. moziniana is a common variety of the Trans-Mexican Volcanic Belt of Mexico, represented by 181 collections and occurring in 12 Mexican protected areas. The EOO is 264,912.814 km2, and the AOO is 688 km2. Based on the IUCN (2019) criteria, the preliminary assessment category is Least Concern (LC).
"
wfo-0001022446,"Lycianthes moziniana var. margaretiana is an uncommon variety of the Sierra Madre Oriental of Mexico, represented by 19 collections, two of which are from the protected area of the Sierra de á;lvarez. The EOO is 36,938.334 km2, and the AOO is 76 km2. Based on the IUCN (2019) criteria, the preliminary assessment category is Near Threatened (NT).
"
wfo-0001022476,"Lycianthes peduncularis is a common species ranging from northern to southern Mexico, represented by 64 collections and occurring in two protected areas (Yagul and Tehuacá;n-Cuicatlá;n Valley). The conservation status of this species was evaluated by Anguiano-Constante et al. (2018) and found to be Least Concern (LC).
"
wfo-0001022448,"Lycianthes moziniana var. oaxacana is an uncommon variety of Oaxaca, Mexico, represented by 19 collections, none of which are from protected areas. The EOO is 12,876.905 km2, and the AOO is 72 km2. Based on the IUCN (2019) criteria, the preliminary assessment category is Vulnerable (VU).
"
wfo-0001022505,"Lycianthes rzedowskii is a locally common species of central/western Mexico, represented by 43 collections and occurring in six protected areas. Unfortunately, the habitat of this species is vulnerable due to urban development. The conservation status of this species was assessed by Anguiano-Constante et al. (2018) and their preliminary assessment was Least Concern. The EOO is 24,120.227 km2, and the AOO is 160 km2. Based on the IUCN (2019) criteria, the preliminary assessment category is now Endangered (EN).
"
wfo-0001022284,"Lycianthes ciliolata is a widespread species ranging from central Mexico to Guatemala represented by 117 collections and occurring in six protected areas. Anguiano-Constante et al. (2018) provided a preliminary conservation assessment of Least Concern (LC).
"
wfo-0001022352,"Lycianthes hintonii is a rarely collected species of northern Mexico, represented by only two collections made before 1993, both from the same location (Cerro El Viejo, Nuevo León), which is not a protected area. Anguiano-Constante et al. (2018) provided a preliminary assessment of Critically Endangered (CR).
"
wfo-0001022533,"Lycianthes starbuckii is a rare species of central Mexico, represented by only four collections from the type location, which is not a protected area. The conservation status of L. starbuckii was investigated by Anguiano-Constante et al. (2018), and their preliminary conservation assessment for this species was Endangered.
"
wfo-0001029287,"Least Concern [LC]. EOO = 4,218,133 km2 [LC]; AOO = 936 km2 [EN]; calculated on entire range in the Americas. Solanum macrotonum is widespread and is a weedy plant throughout its range. It occurs in several protected areas in Colombia (e.g., Selva de las Ventanas Natural Reserve), Ecuador (e.g., Bosque Protector de Pasochoa, Parque Nacional Llanganates) and Venezuela (e.g., Parque Nacional Chorro del Indio)."
wfo-0001031259,"Least Concern [LC]. EOO = 231,683 km2 [LC]; AOO = 344 km2 [EN]. Solanum sinuatirecurvum occurs in large populations and is widely distributed in high elevation habitats. It is found in protected areas in Argentina (e.g., Quebrada de Humahuaca World Heritage site, although there are conservation concerns around that site, https://whc.unesco.org/en/soc/4176/)."
wfo-0001429635,"Near Threatened [NT]. EOO = 40,977 km2 [LC]; AOO = 84 km2 [EN]. Most collections of S. tiinae are from a very few commonly visited localities and the main road between Tafí del Valle and Amaicha del Valle in the Province of Tucumán. Solanum tiinae to date has not been collected in protected areas; based on the number of localities (ca. 5), the area of occupancy and the extent of occurrence it may be of conservation concern. "
wfo-0001030401,"Least Concern [LC]. EOO = 15,437,317 km2 [LC]; AOO = 768 km2 [EN]. Solanum pilcomayense is widely distributed along rivers in the Paraná Basin; it has been collected in protected areas in Argentina (e.g., Parque Nacional Iberá, Parque Nacional Río Pilcomayo) and Paraguay (e.g, Parque Nacional Ypoá)."
wfo-0001032170,"Least Concern [LC]. EOO = 2,010,678 km2 [LC]; AOO = 1,420 km2 [VU]. Solanum tweedieanum is a widespread species that reproduces clonally by rhizomes and occupies a wide range of habitats. It is found within protected areas in a variety of habitats in Argentina (e.g., Pampa de Achala, Ernesto Tornquist Provincial Park) and probably also occurs in the Paraguayan Parque Nacional Defensores del Chaco."
wfo-0001029804,"Least Concern (LC). Solanum nigrescens is widespread and weedy in the southern United States, throughout Mexico and Central America and in the Caribbean; it also occurs in northern South America. It has been registered as a noxious weed of agriculture in Louisiana (Orgeron et al. 2018). "
wfo-0001429798,"Endangered (EN – B2 a, b(ii, iii, iv)). EOO = 267,575 km2 [LC]; AOO = 32 km2 [EN]. In spite of its large EOO, we suggest that S. caatingae merits the status of Endangered. The caatinga habitat is highly fragmented and under severe threat from fire and agriculture. Further studies in this dry forest habitat will certainly reveal more populations of this interesting species."
wfo-0001019999,"EOO (37,301,728.615 km2); AOO (4,496 km2). Capsicum annuum var. glabriusculum is not under threat."
wfo-0001341822,"Least Concern [LC]. EOO = 71,565 km2 [LC]; AOO = 80 km2 [EN]. Knowing that collection densities in the tropical Andes remain extremely low and considering that current collections of S. rhizomatum are from >10 different localities, we suggest this species is not of particular conservation concern. It is not known whether S. rhizomatum is similar in its biology and vegetative spread to S. pygmaeum and further studies may clarify this aspect for potential conservation assessments in the future. No populations are known thus far from the protected area network in Bolivia. The rhizomatous growth form that allows effective vegetative spreading would indicate that the species can withstand grazing pressures moderately well."
wfo-0001030703,"Least Concern [LC]. EOO = 18,428,537 km2 [LC]; AOO = 596 km2 [VU]; calculated on the global range. Solanum pygmaeum is widespread in its native range and is a patch-forming species of open areas and many different habitat types."
wfo-0001030527,"The limited representation in herbaria, as well as the low abundance in the field, makes the Solanum polyphyllum a candidate for threatened status. Due to its distribution in the two known locations of Compe and Pachica it is Data Deficient, pending further field work. Solanum polyphyllum potentially could be found in Isluga National Park but new surveys are required to corroborate its presence in this protected area."
wfo-0001027641,"Preliminary conservation status (IUCN 2017). Least Concern (LC). Solanum douglasii is widespread and weedy in the southwestern United States and throughout Mexico.
"
wfo-0001346399,"Several criteria, such as the extent of its occurrence (EOO=334,900 km2), presence in open anthropic environments, with no records for protected areas, suggest its characterization as that of Least Concern (LC) (IUCN 2014). Solanum fernandesii is a species of open and disturbed habitats, as are many ‘spiny solanum’ species."
wfo-0001022421,"EOO (14,512,768 km2 - LC); AOO (372 km2 - EN). Lycianthes lysimachioides is a species known from more than ten localities and is quite widely distributed in the region. Throughout the range it is known from protected areas (e.g., Upper Shillong Protected Forest in India; Emeishan in Sichuan, China). The assessment of Endangered (EN) based on AOO is likely due to collecting bias, but also due to the island nature of the region. I therefore assign it a preliminary status of Least Concern (LC)."
wfo-0001030696,"S. pusillum is known to exist in 7 subpopulations, of which four are on the Junee Tableland. It does not occur in any conservation reserve. Applying the IUCN guidelines (IUCN, 2001), a category of “Near Threatened” is recommended. "
wfo-0001026321,"IUCN 2001: Vulnerable (VU B2ab(iii,v); C1+2a(i)), known from 4 locations, none of which is within a conservation reserve. It is threatened by land clearance and weeds (especially Cenchrus ciliaris)."
wfo-0001025743,"Endangered under the Queensland Nature Conservation Act, 1992. It is threatened by habitat clearance, and by introduced weeds such as Parthenium hysterophorus, Cenchrus ciliaris, Opuntia spp. and Acanthocereus tetragonus. It is currently known only from a single location in Taunton National Park. Applying the IUCN guidelines (IUCN, 2001), a category of “Critically Endangered” is recommended (CR B2ab(iii,v))."
wfo-0001028226,"IUCN, 2001: Endangered (EN B1ab(ii,iii,v)+2ab(ii,iii,v); C1+2a(i)). Solanum graniticum is known from 4 locations, 3 of them in close proximity. It occurs in the Gloucester Island National Park. Most populations are threatened by road and housing construction, weeds, and grazing."
wfo-0001030212,"S. papaverifolium is currently known from 3 locations. It grows on soils that are utilized for agriculture. All populations are threatened by weeds, roadworks and agriculture, and none is protected in a conservation reserve. Currently listed as “Endangered” under the Queensland Nature Conservation Act, 1992. Applying the IUCN guidelines (IUCN, 2001), the existing category of “Endangered” is endorsed (EN A3ce; B2ab(iii,v); C1). The most recent N.S.W. collection was made in 1982, from Moree."
wfo-0001029691,"S. multiglochidiatum has been collected from about 7 locations in north Queensland over the last 15 years. It is not known from a conservation reserve. Applying the IUCN guidelines (IUCN, 2001), a category of “Near Threatened” is recommended. It is currently listed as “Rare” under the Queensland Nature Conservation Act, 1992."
wfo-0001028916,"Not considered at risk in an Australian context, although its occurrence in Queensland is probably very limited."
wfo-0001029758,"Vulnerable (Wagner et al. 1999). Wagner et al. (1999) listed S. nelsonii (including S. caumii) as vulnerable. Following the segregation of S. caumii herein, the conservation status of S. nelsonii may need to be reassessed as recognizing S. caumii effectively reduces the population size of S. nelsonii. 
"
wfo-0001030566,"Endangered [EN, B1, 2 a,b(ii)]. EOO = 4,852 km2 [EN]; AOO = 28 km2 [EN]. Solanum profusum is known from only four sites (some of these with imprecise localities) and has a narrow geographic range. Some of its populations occur very near to the expanding urbanisation of Salta; subsequent searches for plants in historical collecting sites have been unsuccessful. Solanum profusum may be more resilient to disturbance than we think though, as it is rhizomatous and is able to spread vegetatively; this, however, does not assist with genetic diversity. Solanum profusum does not occur in any protected areas."
wfo-0001027229,"S. cookii has been collected from about 7 locations in north Queensland over the last 10-15 years. It is not currently known from a conservation reserve. Applying the IUCN guidelines (IUCN, 2001), a category of “Near Threatened” is recommended."
wfo-0001031195,"It is known from several locations, some of which are on protected land. No conservation status is recommended at this time."
wfo-0001025666,"IUCN Species Survival Commision 2001. IUCN Red List Categories and Criteria: Version 3.1. Gland, Switzerland and Cambridge, UK: IUCN."
wfo-0001027792,Data deficient.
wfo-1000050015,"Lycianthes textitlaniana is a rare plant of Oaxaca, Mexico, represented by only one collection, which is not from a protected area and was burned in recent fires (Dean et al. 2017b). The EOO is only 4 km2. Based on the very small EOO, and following the IUCN (2019) criteria, the preliminary assessment category is Critically Endangered (CR).
"
wfo-0001029344,"Endangered (EN) due to the very restricted geographic area in which S. manabiense occurs (<5,000 km2), the small number of known populations (<5) and the few collections (4), it is given an IUCN Red List Status listing of Endangered.
"
wfo-0001020129,"EOO (1,456.094 km2); AOO (40 km2). Capsicum hunzikerianum grows in two rain forest reserves in the State of São Paulo, the Parque Estadual da Serra do Mar-Núcleo Cunha and the Estação Biológica da Boracéia. In both protected areas, few subpopulations have been recorded. Based on the small extent of occurrence and area of occupancy, the low number of the different locations (= 5) and a decline in the area of occupancy, we assign C. hunzikerianum the threat status of Endangered (EN; B1ab(ii)."
wfo-0001031257,"Least Concern [LC]. EOO = 625,487 km2 [LC]; AOO = 148 km2 [EN]. Solanum sinuatiexcisum is widely distributed but not often collected; the low AOO is most likely due to collection deficit. It has been collected in protected areas in Argentina (Parque Nacional El Rey) and Bolivia (e.g., Parque Nacional Carrasco)."
wfo-0001031867,"(IUCN 2019). Least Concern (LC). EOO (2,326,480 km2, LC); AOO (528 km2, VU). Widely distributed and likely to be protected by people as a plant of considerable medicinal importance, S. trilobatum is not of immediate conservation concern. Methods of collection for medicinal use, however, have not been assessed and if these are destructive this could be cause for concern."
wfo-0001030561,"(IUCN 2019). Least Concern (LC). EOO (1,575,888 km2, LC); AOO (164 km2, EN). Solanum procumbens is widely distributed and occurs in many habitat types, including extremely anthropogenically disturbed ones."
wfo-0001030177,"Least Concern [LC]. EOO = 140,455 km2 [LC]; AOO = 340 km2 [EN]. Solanum pallidum is a weedy shrub of landslides and road edges and has a relatively wide distribution; it occurs around many of the protected archaeological sites in the region of Cusco, Peru."
wfo-0001027626,"According to the IUCN Red List Categories (IUCN 2010), S. dolichorhachis is classified as B1a+biii (Critically Endangered). This species is only known from five widely scattered locations, two of which are in western Ecuador, an area that continues to experience extreme habitat degradation (Dodson and Gentry 1991). The location at Limoncocha is in the center of an oil field, continued development of which is encroaching on all sides of the 4,600 ha Reserva Bioógica Limoncocha (E. J. Tepe, pers. obs.).
"
wfo-0001028203,"(IUCN 2019). Near Threatened (NT). EOO (131,936 km2); AOO (16 km2). Solanum graciliflorum is known only from seven collections, several of which are of uncertain localities. It has not been re-collected since the first half of the 20th century, indicating it is certainly of conservation concern, thus we suggest a threat status of Near Threatened to reflect this. Additional collection of this species and exploration of the type locality are priorities."
wfo-0001025702,"Though not common this species is one of the few New Caledonian solanums not currently threatened (Jaffré et al., 1998). "
wfo-0001022362,"Lycianthes hypoleuca is a species ranging from southern Mexico to Honduras, represented by 33 collections and occurring in four protected areas. The EOO is 78,970.5 km2, and the AOO is 124 km2. Based on the IUCN (2019) criteria, the preliminary assessment category is Least Concern (LC).
"
wfo-1200041500,"Lycianthes scandens var. flavicans is a widespread variety of western Mexico and Central America, represented by 111 collections and occurring in four protected areas. The EOO is 1,500,273.062 km2, and the AOO is 408 km2. Based on the IUCN (2019) criteria, the preliminary assessment category is Least Concern (LC).
"
wfo-0001022517,"Lycianthes sideroxyloides is a widespread species ranging from southern Mexico to Nicaragua, represented by 49 collections and occurring in seven protected areas. The EOO is 534,220.001 km2. Based on the EOO and the number of locations, and following the IUCN (2019) criteria, the preliminary assessment category is Least Concern (LC).
"
wfo-0001022462,"Lycianthes ocellata is an uncommon species of Guatemala and immediately adjacent areas in Mexico represented by only six collections, two of which are from protected areas (Lagos de Moreno, Mexico and Mario Dary Rivera, Guatemala). The EOO is 2,567.916 km2, and the AOO is 24 km2. Based on the IUCN (2019) criteria, the preliminary assessment category is Endangered (EN).
"
wfo-0001022295,"Lycianthes cuchumatanensis is a rarely collected species of Guatemala, represented by only three collections, all outside of protected areas. The EOO is 773.642 km2, and the AOO is 12 km2. Based on the IUCN (2019) criteria, the preliminary assessment category is Critically Endangered (CR).
"
wfo-1000033129,"Lycianthes fredyclaudiae is a Guatemalan cloud forest endemic, represented by 13 collections from a relatively small area, with six collections from protected areas (Mario Dary Rivera and Sierra de Minas). Dean et al. (2019a) provided a preliminary conservation assessment of Endangered (EN) for this species
"
wfo-0001022406,"Lycianthes limitanea is an uncommon species of southern Mexico, Guatemala, and Belize, represented by 17 collections and occurring in two protected areas (Columbia River, Belize and Río Dulce, Guatemala). The EOO is 69,835.282 km2, and the AOO is 68 km2. Based on the IUCN (2019) criteria, the preliminary assessment category is Least Concern (LC).
"
wfo-0001030919,"According to the IUCN Red List Categories (IUCN 2010) Solanum rubicaule is classified as VU-B1a+B2a+B2biii; D2 (Vulnerable). The extent of occupancy is estimated to be approximately 10, 000 km<sup>2</sup> and less than five collected locations. This area of the Amotape-Huancabamba Zone has been underexplored, but collections have increased in recent years, largely due to efforts by MO in southern Ecuador and HAO in northern Peru. As this collecting continues and more specimens are determined in herbaria the number of locations should rise. Additionally, although there is continuing decline in forest habitat in this region due to deforestation for the establishment of settlements and farming, the effects of this on Solanum rubicaule are difficult to assess because it occurs in disturbed edges of forest and roadsides. Sicne its description the range of S. rubicaule has been extended to central Peru, but it is still not common.
"
wfo-0001342062,"(IUCN 2019). Endangered (EN [B2ab(i,ii,iii)]); EOO (555 km2), AOO 16 km2). Due to the paucity of collections, it is difficult to document the range of Solanum camranhense with confidence. However, its occurrence in the fragmented and anthropogenically disturbed habitats of coastal southern Vietnam (Wikramanayake et al. 2002) suggests it is of conservation concern."
wfo-0001032512,"(IUCN 2019). Vulnerable (VU). EOO (32,261 km2, VU); AOO (44 km2, EN). Solanum wightii is rather narrowly distributed and occurs in open grassy areas subject to human disturbance; it occurs in the proposed Palani Hills National Park, so there is afforded some degree of protection."
wfo-0001030959,"Possibly extinct (EX). Failure to recollect this species on recent searches in the area of the type collection and adjacent habitat suggests it may be extinct (see Vorontsova & Mbago 2011).
"
wfo-0001028805,"Least Concern [LC]. EOO = 197,081 km2 [LC]; AOO = 120 km2 [EN]. Solanum juninense has a relatively wide distribution and is found in at least two protected areas within its range (e.g., Parque Nacional Abiseo and Parque Nacional Yanachaga-Chemillén, Peru)."
wfo-0001031095,"(IUCN 2019). Least Concern (LC). EOO (1,012,899 km2, LC); AOO (32 km2, EN). In the area of tropical Asia treated here S. schefferi is at the northwestern part of its range; it is more widely distributed on New Guinea. The small AOO is common in vines of forest canopies, these types of plants are notoriously under-collected but are also often rare where they occur."
wfo-0001025774,"Preliminary conservation status (IUCN 2014). Least Concern (LC). EOO 62,716 km2 (LC), AOO 36 km2 (EN). Solanum africanum is widely distributed along the southern part of South Africa, and although the AOO calculated here indicates some conservation concern, this is in part due to the releatively low number of specimens we have examined. The species occurs in several protected areas, and is likely to be more common than our data suggest.
"
wfo-0001031843,"Preliminary conservation status (IUCN 2014). Vulnerable (VU B1a, biii). EOO 12,121 km2 (VU), AOO 28 km2 (EN). Solanum trichopetiolatum is a species of wet forests, and these are shrinking in extent due to habitat alteration. It does, however, occur in protected areas (e.g., the Marojejy Reserve). In common with other members of the ANS clade in Madagascar, the paucity of collections, indicative of local rarity, coupled with the ongoing habitat threats in Madagascar, indicate monitoring and further collection to assess local rarity are priorities.
"
wfo-1000023515,"Lycianthes rafatorresii is a rare shrub with a discontinuous distribution represented by 22 collections, and it is only present in one protected area (Los Tuxtlas). The size of the EOO area (51,517.851 km2) suggests a preliminary conservation assessment of Least Concern (LC). In contrast, the size of the AOO area (76 km2) suggests an Endangered (EN) status.
"
wfo-0001031169,"EOO = 814 km2 [EN –Endangered]; AOO = 60 km2 [EN –Endangered]. Solanum semisucculentum is found in a number of localities in northern New Caledonia, all of which are in montane serpentine soil areas now highly disturbed by mining activities. We preliminarily assign an assessment of EN (B1a,b) due to its fragmented distribution and threats to its montane habitat from mining activities."
wfo-0001028525,"Preliminary conservation status (IUCN 2014). Least Concern (LC). EOO 165,095 km2 (LC), AOO 40 km2 (EN). In common with other members of the ANS clade in Madagascar, Solanum imamense has a relatively wide distribution, resulting in an EOO indicating lack of immediate conservation concern. The paucity of collections, indicative of local rarity, coupled with the ongoing habitat threats in Madagascar, however, do indicate monitoring and further collection to assess local and regional rarity is necessary.
"
wfo-0001026535,"Preliminary conservation status (IUCN 2014). Least Concern (LC). EOO 62,716 km2 (LC), AOO 36 km2 (EN). Solanum betroka is confined to the arid southern part of Madagascar, with some disjunct populations to the north, giving the EOO indicating least concern. Given the paucity of collections of all of the Malagasy members of the ANS clade, and the widespread and continuing habitat alteration in Madagascar, we feel this species would merit conservation concern, but the AOO may also be indicative of collection deficit or bias.
"
wfo-0001030784,"EOO = 862 km2 [EN –Endangered]; AOO = 16 km2 [EN –Endangered]. Solanum ratale is known from only a few locations in forest, and no recent collections. We therefore assess it as EN (B1,2a,b), based on its relatively restricted distribution and the threats to forest habitat in island archipelagoes."
wfo-1000024767,"Populations of Solanum confertiflorum are known from five distinct localities in the inland of Bahia state, all relatively recent collections. It was collected in the Parque Estadual do Morro do Chap´eu, a protected area that suffers disturbances such as deforestation, fire, and mining (Funch et al. 2009; Instituto de Meio Ambiente e Recursos H´?dricos 2019). Applying the criteria of geographic range (B), we preliminarily assessed the species as Vulnerable (VU) B2 a,b (iii, iv), because of its restricted geographic distribution (EOO , 6,856 km2, AOO , 24 km2) and decreased habitat quality."
wfo-0001027900,"According to the IUCN Red List Categories (IUCN 2010), Solanum falciforme is classified asVU-B1a+biii; A2c (Vulnerable). Populations of this species are located near expanding population centers leading to highly fragmented populations. The extent of occupancy is estimated to be less than 20, 000 km2. There is also a continuing decline in suitable habitat in these regions due to deforestation and the establishment of new settlements.
"
wfo-0001027720,"IUCN. 2001: Vulnerable (VU C1). The conservation status over the entire species range has not been assessed. The Australian government currently classifies it as vulnerable. In Australia, threats include habitat destruction, herbivory (feral pigs), competition with introduced weeds, and altered fire conditions (s266B of the Environment Protection and Biodiversity Conservation Act 1999). The species is also known from northern Queensland, Australia (Symon, 1981; Purdie et al., 1982) though no specimens from there were seen during the completion of this monograph. In Queensland, S. dunalianum is not common. Not threatened in rest of range."
wfo-0001029488,"EOO = 9.35 km2 [CR – Critically Endangered]; AOO = 12 km2 [EN –Endangered]. Solanum memaoyanum is known from only a few collections, all of which are in montane serpentine soil areas now highly disturbed by mining activities. Although the AOO suggests an assessment of EN, we suggest S. memaoyanum should be assigned a status of CR (B2a,b) due to its fragmented distribution and threats to its montane habitat."
wfo-0001026503,"Extinct (see Mabberleyet al. 2007).
"
wfo-0001030622,"EOO = 17,482 km2 [VU – Vulnerable]; AOO = 24 km2 [EN –Endangered]. Based on the paucity of recent collections and the fragmented populations (5 locations) on three of the islands of the Fijian archipelago we assess Solanum pseudopedunculatum as VU (B1a,b D2)."
wfo-0001032458,Widespread. Not considered at risk.
wfo-0001031022,"Endangered (Wagner et al., 1999; U.S. Fish & Wildlife Service. 2005. Threatened and Endangered Animals and Plants, Species Information.)
"
wfo-0001031329,"According to the IUCN Red List criteria (IUCN, 2001), Solanum sotobosquense is classified as VU Bla+2a; D1 (Vulnerable; extent of occurrence less than 20,000 km<sup>2</sup> and area of occupancy less than 2000 km<sup>2</sup>, populations severely fragmented and known to exist at fewer than 10 locations, and population size estimated to number fewer than 1000 individuals). Populations of this species occur in protected areas of Parque Nacional Tapantí in Costa Rica and Parque Internacional La Amistad in Costa Rica and Panama and therefore are not perceived to be under direct threat at present.
"
wfo-0001027581,"Solanum dillonii is relatively widely distributed in the Amotape-Huancabamba region, and has an EOO of 22, 492 km2, giving a status of possible Near Threatened, and an AOO (with cell size of 0.04 km 2) of 10, 541 km2, giving a status of Least Concern (IUCN 2001). Using a cell size of 2 km2 gives an AOO of 28 km2, resulting in an assessment of Endangered. Given that the species is of a partially secondary nature, growing in disturbed areas and along roads, the status of possibly Near Threatened is the most realistic assessment for Solanum dillonii, but more collecting with population assessment will help refine this.
"
wfo-0001028915,"Based on IUCN (2014) guidelines. Near Threatened (NT) B1, 2 a, b(ii, iii); EOO 32,466 km2 (NT); AOO 28 km2 (EN). In spite of its large extent of occurrence, S. lacteum is only known from six locations and we consider it to be at risk due to the fragmentation and loss of its primary forest habitat. Populations in all three states of occurrence, however, are from within protected areas. It is possible that it is more common than it appears, considering that the flowers are so small and inconspicuous that it is easily overlooked.
"
wfo-0001028680,"Endangered. The proximity of the only known population of this Solanum insulae-pinorum to such a tourist attraction naturally puts it at risk from human disturbance. Such disturbance for the time being is limited to foot traffic along the trails in the area, however accidental fire is a real concern. Fortunately, the proximity of the locality to 'la piscine naturalle' likely saves it from development. 
"
wfo-0001344894,"Critically Endangered (CR) B1, 2 a, b(ii, iii, iv). This species is known from a single locality, the Gruta da Lapinha, included in the Parque Estadual do Sumidouro, a protected area that encompasses 52 caves. There is an increasing human pressure in its microhabitat near the base of the limestone walls, where many climbing routes are in constant use. The limestone outcrops
have being mined for decades, drastically reducing the habitat of this species. The surrounding landscape is changing very quickly with the growth of the municipality of Lagoa Santa, influenced by the Vector North project that fostered the expansion of the metropolitan region of Belo Horizonte, the capital of the state (Auler and Piló 2015). All of these threats support an assessment of Critically Endangered. Efforts to locate new populations in the conservation unit, as well as in similar habitats associated with caves outside it are needed."
wfo-0001028692,"(IUCN 2019). Least Concern (LC). EOO (1,868,808 km2, LC); AOO (216 km2, EN). Solanum involucratum is found over a very broad range in the archipelago, the AOO measurement certainly reflects collecting bias."
wfo-0001029073,"Despite its rarity and restricted distribution, S. lidii is not listed in the IUCN Red Book of Endangered Species. A preliminary conservation status would be EN or possibly CR, based on small population size, threat from human disturbance and island endemism. The species has legal protection under the EU Habitats Directive, the Bern Convention and under Spanish law (Bramwell, 2006)."
wfo-0001030580,"Critically endangered (Jaffré et al. 1998)
"
